更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL
2024-08-01,医療法人有友会,その他医療関連,求人なし,,福岡県福岡市南区老司3-32-30,2004,理事長 中村 司,68 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人博多駅東クリニック,病院・大学病院・クリニック,求人なし,,福岡県福岡市博多区博多駅東1-13-9,2010,理事長 山本 宗滿,87 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人一之会,その他医療関連,求人なし,,福岡県福岡市博多区博多駅東1-12-6,2014,理事長 宮部 崇,43 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人山口整形外科医院,病院・大学病院・クリニック,求人なし,,福岡県福岡市博多区那珂3-11-15,2014,理事長 山口 登,17 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人はるか,病院・大学病院・クリニック,求人なし,,福岡県北九州市八幡西区陣山1-4-28,2014,理事長 福永 源太,82 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人愛和会,病院・大学病院・クリニック,求人なし,,福島県郡山市桑野4-10-6,2015,理事長 鈴木 聡,13 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人白耀会,その他医療関連,求人なし,,福島県南相馬市原町区桜井町1-129,2002,理事長 熊耳 隆洋,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団栄徳会,病院・大学病院・クリニック,求人なし,,兵庫県加古川市八幡町下村1353,2015,理事長 磯 篤典,244 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団みやもと内科循環器科,病院・大学病院・クリニック,求人なし,,兵庫県神戸市西区学園西町1-1-2神戸学園都市ビル 3Ｆ,2015,理事長 宮本 哲也,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団公佑会北村クリニック,病院・大学病院・クリニック,求人なし,,兵庫県神戸市中央区二宮町3-5-14三恵ビル 1Ｆ,1996,理事長 北村 純司,92 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団吉田矯正歯科クリニック,病院・大学病院・クリニック,求人なし,,兵庫県神戸市中央区北長狭通1-2-2,1993,理事長 吉田 建美,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団木下歯科医院,病院・大学病院・クリニック,求人なし,,兵庫県神戸市東灘区御影山手1-4-18,2014,理事長 木下 貴雄,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団永井医院,その他医療関連,求人なし,,兵庫県西宮市江上町8-10,2015,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団和田眼科,病院・大学病院・クリニック,求人なし,,兵庫県西宮市津門呉羽町1-28今津医療センター 2Ｆ,2008,理事長 和田 佳一郎,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団にしうら歯科クリニック,病院・大学病院・クリニック,求人なし,,兵庫県尼崎市上坂部3-13-10,2014,理事長 西浦 宏宰,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団武部整形外科リハビリテーション,病院・大学病院・クリニック,求人なし,,兵庫県尼崎市浜田町5-28,2014,理事長 武部 恭一,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団晃成会,病院・大学病院・クリニック,求人なし,,兵庫県宝塚市光明町1-9,1993,理事長 佐竹 晃,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団にしむら歯科クリニック,病院・大学病院・クリニック,無,,兵庫県宝塚市小林2-7-24マンションビセイ 1Ｆ,2014,理事長 西村知晃,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人愛進会,病院・大学病院・クリニック,求人なし,,兵庫県明石市松の内2-7-3,2015,理事長 油谷 征彦,14 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団同行会,病院・大学病院・クリニック,求人なし,,北海道浦河郡浦河町東町ちのみ3-2-34,2015,理事長 八十川 真里子,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団ライズ,病院・大学病院・クリニック,求人なし,,北海道札幌市手稲区西宮の沢三条1-12-23,2014,理事長 髙橋 史朗,21 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団越仁会,病院・大学病院・クリニック,求人なし,,北海道札幌市清田区北野七条2-12-17,2015,理事長 越野督央,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人セレス,その他医療関連,求人なし,,北海道札幌市東区北二十一条東21-2-1,2007,理事長 深澤 俊行,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団奥泉整形外科,病院・大学病院・クリニック,求人なし,,北海道札幌市東区北四十一条東8-3-7,2015,理事長 奥泉 知郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会医療法人三樹会,福祉・介護関連サービス,求人なし,,北海道札幌市白石区東札幌二条3-6-10,1986,理事長 中嶋 久雄,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団日向会,病院・大学病院・クリニック,求人なし,,北海道札幌市豊平区月寒東三条16-3-10,2015,理事長 五十嵐 伸一,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社ウィーズ中部,福祉・介護関連サービス,求人なし,,愛知県一宮市八町通2-6-12Ｆ,1998,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人たかの眼科,病院・大学病院・クリニック,求人なし,,埼玉県坂戸市南町12-51Ｆ,2000,理事長 髙野隆行,164 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人加藤歯科医院,病院・大学病院・クリニック,求人なし,,京都府長岡京市長岡2-2-6,1989,理事長 加藤 清道,37 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人ＧＭＥＣ,病院・大学病院・クリニック,求人なし,,福岡県福岡市南区老司4-1-45,2013,理事長 望月 泰敬,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人いずい医院,病院・大学病院・クリニック,求人なし,,大阪府八尾市竹渕西3-80,1993,理事長 泉 井隆廣,150 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人三浦クリニック,病院・大学病院・クリニック,求人なし,,宮城県亘理郡亘理町字新町53-2,2012,理事長 三浦 俊治,175 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人尾原内科医院,病院・大学病院・クリニック,求人なし,,大阪府高槻市芥川町1-2Ａ203アクトアモーレ,2006,理事長 尾原 幹啓,71 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人三蔵会,福祉・介護関連サービス,求人なし,,鹿児島県薩摩川内市祁答院町上手500-7,2007,理事長 川田 篤子,307 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人南之郷,福祉・介護関連サービス,求人なし,,鹿児島県曽於市末吉町南之郷8130-1,2013,理事長 富永 勇次,142 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人志萠会原歯科,病院・大学病院・クリニック,無,,愛知県長久手市横道2203,1991,理事長 原 正幸,120 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団健鳳会,病院・大学病院・クリニック,求人なし,,千葉県四街道市四街道1-1ＪＲ四街道駅ビル 4Ｆ,2015,理事長 村田 茂之,53 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団あすか,病院・大学病院・クリニック,求人なし,,千葉県千葉市中央区新千葉1-1-1ペリエ千葉 6Ｆ,2005,理事長 山越隆行,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団麻布ビューティクリニック,病院・大学病院・クリニック,求人なし,,東京都港区麻布十番2-14-11ルート麻布ビル 6Ｆ,2015,理事長 加藤 聖子,12 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団中村レディースクリニック,病院・大学病院・クリニック,求人なし,,兵庫県神戸市西区持子3-60,1990,理事長 中村 光彰,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団憲幸会,病院・大学病院・クリニック,求人なし,,北海道帯広市西二条南9-1-9ピアザビル 2Ｆ,2003,理事長 金玉 順,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社Ｓｍｉｌｅ＆Ｂｏｄｙ　Ｄｅｓｉｇｎ,病院・大学病院・クリニック,求人なし,,埼玉県熊谷市銀座1-188,2016,代表取締役 野上 宏一,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社はなもも,福祉・介護関連サービス,求人なし,,東京都足立区西新井5-34-4第2スカイハイツ足立 101,2016,代表取締役 足立 良泰,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人淡鳳会,福祉・介護関連サービス,求人なし,,兵庫県淡路市野島貴船246-1,2000,理事長 美摩 武臣,"1,542 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人らっく,福祉・介護関連サービス,求人なし,,神奈川県相模原市南区麻溝台2-6-31,2008,理事長 鈴木 純恵,227 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社アローズ,医療機器メーカー業界,求人なし,,大阪府茨木市三咲町1-22,1995,代表取締役 岩永 充弘,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社おが和本舗,福祉・介護関連サービス,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 2016年のオープン以来、横浜市港北区エリアとその近郊の地域の皆さまの健康を支えている訪問専門の治療院です。高齢の方や身体に障がいのある方のご自宅や施設を訪問して、リハビリ・機能訓練・鍼灸・マッサージの提供をおこなっています。当院では現在、鍼灸マッサージ師の資格をお持ちの方を募集しています。 2023年6月doda掲載求人より引用,神奈川県横浜市神奈川区白幡仲町32-37,2016,代表取締役 小川 和之,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社シャイニーケア,福祉・介護関連サービス,求人なし,,千葉県市原市ちはら台西6-24-175,2016,代表取締役 在原 憲,2 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,シルバーワン株式会社,福祉・介護関連サービス,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ・介護相談センターの運営・介護施設・老人ホームの開設支援及び経営コンサルティング・介護施設・老人ホームの紹介及び案内に関する事業・シニアマーケティング事業・後見人に関する内容・高齢者のアクティビティ事業・前各号に関連する一切の事業 2021年11月doda掲載求人より引用,東京都西東京市下保谷4-8-17,2016,代表取締役 木田 祥太,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人ウェルエイジ,福祉・介護関連サービス,求人なし,,神奈川県伊勢原市高森2-18-1,2013,理事長 大脇 兼弘,39 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人うえるかむ,福祉・介護関連サービス,求人なし,,宮城県仙台市太白区鈎取4-14-15,2011,理事長 佐藤 清志,282 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団浅井皮膚科クリニック,病院・大学病院・クリニック,求人なし,,神奈川県横浜市保土ケ谷区帷子町1-14,2001,理事長 浅井 俊弥,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人ｈａｐｐｙ　ｓｍｉｌｅ,病院・大学病院・クリニック,求人なし,,神奈川県小田原市蓮正寺470-109,2013,理事長 山下 伸司,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団Ｍ’ｓ　Ｐｌｅａｓｕｒｅ　Ｗｏｒｋｓ,病院・大学病院・クリニック,求人なし,,神奈川県藤沢市弥勒寺3-12-16～1号ミロクジーナＣ棟1Ｆ,2011,理事長 松本 幸輔,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人社団Ｈｅａｌｉｎｇ　Ｆｏｒｅｓｔ,病院・大学病院・クリニック,求人なし,,東京都品川区大井1-16-2ブリリア大井町ラヴィアンタワー 2Ｆ,2015,理事長 原田 知子,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,ＡＲＴネットワークス株式会社,病院・大学病院・クリニック,無,患者様の心身共にサポートする不妊治療専門クリニックの運営 2024年5月doda掲載求人より引用,東京都港区赤坂6-19-54ミッドガーデン赤坂氷川 904,2016,代表取締役 京野 恵介,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社桜木薬局,調剤薬局・ドラッグストア業界,求人なし,,東京都台東区上野桜木1-11-13,2016,代表取締役 矢作 惠,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社Ｌｉｅｎ,福祉・介護関連サービス,求人なし,,宮城県多賀城市高橋2-19-16,2016,代表取締役 澤田 洋祐,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社らくらホールディングス,福祉・介護関連サービス,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■グループ全体の長期経営戦略の企画立案■有料老人ホーム・グループホームの運営等■介護事業所の経営課題解決（配食・老人ホーム紹介など） 2023年3月doda掲載求人より引用,北海道札幌市中央区北五条西6-1-23道通ビル 3Ｆ,2016,代表取締役 浅沼 静華,18 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,けやき企画株式会社,福祉・介護関連サービス,求人なし,,東京都立川市富士見町1-25-24,2016,代表取締役 村田 光太郎,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社横須賀薬局,調剤薬局・ドラッグストア業界,求人なし,,千葉県習志野市谷津1-14-2,1996,代表取締役 中山 邦,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社エンブレスまつふじ,調剤薬局・ドラッグストア業界,求人なし,,福岡県柳川市辻町19,1986,代表取締役 松藤 弘子,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,川崎ライフケアクリニック,病院・大学病院・クリニック,無,,神奈川県川崎市幸区中幸町4-42菊岡ビル 201,,,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人箕面の森整形外科クリニック,病院・大学病院・クリニック,求人なし,,大阪府箕面市坊島5-4-23,2019,理事長 森 裕之,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社ＮＥＸＴ　ＰＬＥＡＳＵＲＥ,福祉・介護関連サービス,求人なし,,大阪府大阪市東成区深江南1-8-30105,2016,代表取締役 山口 烈慶,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社こどもの未来,福祉・介護関連サービス,求人なし,,東京都大田区北千束2-15-18ＳＥＮＺＯＫＵＦＬＡＴ 202,2016,代表取締役 小林 由弥,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,アイ・ナーサリー株式会社,福祉・介護関連サービス,求人なし,,千葉県市川市田尻4-16-7アークヒルズ市川 1Ｆ,2016,代表取締役 片岡 哲治,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社メタルファーマシー,調剤薬局・ドラッグストア業界,求人なし,,京都府向日市寺戸町七ノ坪141-503,2016,代表取締役 川野 義光,9 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社メトセラ,大学・研究施設,無,,神奈川県川崎市川崎区殿町3-25-16サイバニクス医療イノベーションベース,2016,代表取締役 戸田 光太郎,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人恩心会,福祉・介護関連サービス,求人なし,,静岡県富士宮市大岩493-1,2012,理事長 渡邉 京子,383 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社キンタカ,調剤薬局・ドラッグストア業界,求人なし,,鳥取県西伯郡大山町末長262-3,1989,代表取締役 金高 拓夫,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,ＺＥＳＴＩＡ株式会社,医療機器メーカー業界,求人なし,,長野県飯田市龍江5540-1,1970,代表取締役 熊谷 雄一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人ＮＴ鶴見クリニック,病院・大学病院・クリニック,求人なし,,大阪府大阪市鶴見区諸口5-6-21,2017,理事長 仲 豊子,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,フロレゾン製薬株式会社,医薬品卸,無,,福岡県福岡市博多区博多駅前3-26-29,2016,代表取締役 松本 敬一,76 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社あさがおねっと,福祉・介護関連サービス,求人なし,,大阪府守口市八雲西町2-12-13,2016,代表取締役 大住 友哉,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人福桜会,福祉・介護関連サービス,求人なし,,栃木県真岡市久下田712-8,2004,理事長 橋本 美千子,385 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社カインドハウス,福祉・介護関連サービス,求人なし,,愛媛県今治市南鳥生町2-3-43,1964,代表取締役 八木 良,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社水戸心理・療育センター,福祉・介護関連サービス,求人なし,,茨城県水戸市千波町344-14,2016,代表取締役 富田 賢史,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社ウィンメディックス,医薬品卸,求人なし,,東京都千代田区神田須田町1-5-10相鉄万世橋ビル702号室,2016,代表取締役 倉田 藤弘,150 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,ホクシンサービス株式会社,福祉・介護関連サービス,無,■給食受託業務■官公庁・オフィス・工場・病院・福祉施設・学校等・諸設備のコンストラクトフードサービス■食材・給食・弁当の配食業■レストラン・デリカショップ・売店の経営■食品・食材・食資材の販売■フードサービス施設の設計■厨房機器・什器・食器・備品販売及び賃貸業務■労働者派遣事業■療機器・福祉施設等の経営コンサルタント業■福祉施設の設置運営■前記業務に付随する一切の業務 2024年1月doda掲載求人より引用,北海道札幌市中央区南十五条西11-2-25,2004,代表取締役 畠山 禎弘,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人恵泉福祉会,福祉・介護関連サービス,求人なし,,広島県尾道市平原3-1-15,2012,理事長 狩野 牧人,556 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人はるかぜ福祉会,福祉・介護関連サービス,求人なし,,大阪府松原市松ケ丘1-10-61,2012,理事長 高村 はるか,452 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,社会福祉法人マーヤ,福祉・介護関連サービス,求人なし,,大阪府堺市西区上野芝町5-9-20,2005,理事長 森下 光雄,"2,607 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,なごやかケアリンク株式会社,福祉・介護関連サービス,求人なし,,東京都港区港南2-15-3品川インターシティＣ棟 12Ｆ,2016,代表取締役 佐伯 崇夫,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社イワミズ,医療機器メーカー業界,求人なし,,大阪府大阪市淀川区西中島4-13-24花原第3ビル301号室,2016,代表取締役 岩水 隆志,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,２４ケアシステム株式会社,福祉・介護関連サービス,求人なし,,埼玉県川口市芝2-13-23ファミーユ伸和Ｃ号室,2016,代表取締役 山根 謙,9 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,泰よう株式会社,福祉・介護関連サービス,求人なし,,千葉県館山市北条420-4,2016,代表取締役 日下 浩一,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社グランムート,福祉・介護関連サービス,求人なし,,福岡県福岡市城南区別府1-21-6アストア別府 6Ｆ,2016,代表取締役 松元 智志,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,医療法人ＪＲ広島病院,病院・大学病院・クリニック,求人なし,,広島県広島市東区二葉の里3-1-36,2016,理事長 河本 昌志,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,有限会社メディカル・リサーチ・サポート,その他医療関連,求人なし,,大阪府大阪市中央区今橋3-2-17緒方ビル 2Ｆ,2002,代表取締役 水島 明日加,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社ＯＮＥ　ＦＯＲ　ＡＬＬ,病院・大学病院・クリニック,求人なし,,福岡県大野城市中3-1-40,2005,代表取締役 十亀 誠治,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,こどもプラスホールディングス株式会社,福祉・介護関連サービス,求人なし,,東京都新宿区四谷三栄町4-12第2森初ビル 1Ｆ,2016,代表取締役 栁澤 弘樹,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
2024-08-01,株式会社Ｌスマイル,福祉・介護関連サービス,求人なし,,佐賀県小城市小城町畑田1684-40,2016,代表取締役 山浦 由佳理,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?
