更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,ＩＱＶＩＡサービシーズジャパン合同会社,CSO,93,■事業内容：・新製品投入時の営業サポート・営業チーム、プロジェクト・チームの編成・国内外の営業およびマーケティング・サポート・市販後調査（PMS）・臨床試験業務（フェイズIからフェイズIV）・データマネジメントおよび統計解析・医薬品関連文書の作成―〈治験薬概要、臨床試験計画書、総括報告書、ＮＤＡ（製造/輸入承認申請書）、各種調査書類 等〉・海外における臨床試験および関連業務,東京都港区高輪4-10-18京急第1ビル,1998,,,5135,,https://www.iqvia.com/ja-jp/locations/japan,
2024-07-01,総合メディカル株式会社,調剤薬局・ドラッグストア業界,14,■事業案内・医業経営コンサルティング・医療モールの開発・運営・医療機関への医師の紹介・医師の転職・開業支援・医業継承支援・保険調剤、一般薬・介護用品の販売・医療機器などのリース・販売・入院患者向けテレビのレンタル総合メディカルは、医療機関が効率的で質の高い医療を提供できるよう、コンサルティングをベースに医療機関経営のトータルサポートをおこなっています。 医師の紹介や医業継承、医療連携を通じて、地域医療の活性化をお手伝いするDtoD、全国に展開する調剤薬局、医療機器のリース、在宅・介護まで多角的な事業を展開しています。,福岡県福岡市中央区大名2-9-23,1978,,36.3,21228,"1,000百万円",http://www.sogo-medical.co.jp/,
2024-08-01,株式会社シーユーシー【グロース上場】【エムスリーG】,医療コンサルティング,44,■事業内容：医療機関支援では、訪問診療クリニック、病院、透析クリニック、眼科クリニック、小児科クリニック等を運営する医療機関向けに経営支援サービス（経営戦略策定・経営管理支援、マーケティング支援、人材派遣、IT・経理・総務等支援、人事・採用機能支援等に加えて、新規クリニック開設支援、病床転換支援、M&A・PMI 支援等）を拡大するとともに、支援先医療機関数の増大を目指しています。更に、高齢化先進国である日本の医療機関に対する経営支援サービスのノウハウを海外にも展開すべく、現在展開しているベトナム及びインドネシアでの事業の更なる拡大を目指しています。,東京都港区芝浦3-1-1msb Tamachi 田町ステーションタワーN 15F,2014,グロース市場,37.8,464,"2,126百万円",https://www.cuc-jpn.com/,
2024-07-01,パナソニック エイジフリー株式会社,福祉・介護関連サービス,10,■事業内容：・ライフサポート事業：介護サービス事業（サービス付き高齢者向け住宅事業等）を提供しています。・ケアサプライ事業部：介護用品から住宅設備まで、先進技術を搭載し、介護現場のノウハウを生かした製品開発。また、地域密着で介護用品の販売・レンタル、リフォームを行う「エイジフリーショップ」を124店舗全国展開しています。,大阪府門真市大字門真1048,2016,,38.0,3700,50百万円,https://panasonic.co.jp/ls/paf/,
2024-08-01,ニプロファーマ株式会社,医薬品メーカー業界,33,■概要：ニプログループ医薬品事業の中核会社であり、国内外約90社から医薬品の受託製造を請け負っています。受託製造規模は、国内随一であり、あらゆる製剤形に対応可能な生産体制を構築してまいりました。,大阪府摂津市千里丘新町3-26,1950,,36.8,3559,"8,669百万円",https://www.np.nipro-pharma.co.jp/index.php,
2024-07-01,アストラゼネカ株式会社,医薬品メーカー業界,1,■事業内容：医療用医薬品の開発、製造及び販売■事業の特徴：同社は、サイエンス志向のグローバルなバイオ・医薬品企業です。日本においては、主に「オンコロジー」「循環器・腎・代謝疾患」「呼吸器・免疫疾患」「ワクチン・免疫療法」の4つを重点領域として患者の健康と医療の発展への更なる貢献を果たすべく活動しています。,大阪府大阪市北区大深町3-1グランフロント大阪タワーB,1975,,,3700,"2,000百万円",http://www.astrazeneca.co.jp/,
2024-08-01,興和株式会社,医薬品メーカー業界,29,■事業内容：医薬品・電機光学製品などのメーカー機能と繊維・機械・建材などの輸出入や三国間貿易を行う商社機能をあわせ持つ、百二十余年の歴史のある企業です。,愛知県名古屋市中区錦3-6-29,1939,,40.7,7974,"3,840百万円",https://www.kowa.co.jp/,
2024-08-01,株式会社ポピンズ,福祉・介護関連サービス,8,■事業内容：（1）子育て支援サービス…ポピンズナニーサービス、ポピンズナーサリースクール、ポピンズキッズルーム、事業所・大学・病院内保育施設等（2）乳幼児教育支援サービス…ナニー育成、乳幼児教育の人材育成、保育所・幼稚園施設関係者の海外研修・留学等（3）子育て事業コンサルティング…保育施設開業・運営・再建支援等（4）介護支援サービス…高齢者在宅ケアサービス「ポピンズVIPケア」、デイサービス（5）介護人材育成支援サービス,東京都渋谷区広尾5-6-6広尾プラザ 8F,2016,スタンダード市場,45.1,55,"2,095百万円","Failed to retrieve page, status code: 410",
2024-08-01,MSD株式会社,医薬品メーカー業界,15,■事業内容：医療用医薬品、ワクチンの開発・輸入・製造・販売,東京都千代田区九段北1-13-12北の丸スクエア,2010,,,3200,"26,349百万円",http://www.msd.co.jp/,
2024-08-01,田辺三菱製薬株式会社,医薬品メーカー業界,15,■事業概要：医療用医薬品を中心とする医薬品の研究開発・製造・販売,大阪府大阪市中央区道修町3-2-10,1933,,45.0,3764,"50,000百万円",http://www.mt-pharma.co.jp/,
2024-08-01,株式会社アンビスホールディングス,福祉・介護関連サービス,18,[社会課題の解決を目指す医療ベンチャー企業]・2013年に事業開始、2016年持ち株会社設立、2019年10月にJASDAQ（スタンダード）に上場の急成長スタートアップ。2023年3月東証プライム市場へ変更。 ・慢性期・終末期の看護・介護ケアに特化した医療施設型ホスピス「医心館」という新規の事業領域を確立し、中核事業に持つ。・少子高齢多死社会の到来、医療制度改革による病院収支の悪化、在宅看取りの推進等の国策で行き場を失った方々の受け皿の役割を担い、地域社会から高い評価を獲得。,東京都中央区京橋1-6-1,2016,プライム市場,,4500,"5,866百万円",http://amvis.co.jp/,
2024-08-01,大正製薬株式会社,医薬品メーカー業界,24,■事業概要：医薬品、医薬部外品、食品、化粧品、雑貨などの研究・開発・製造・販売■事業詳細：（1）セルフメディケーション事業（2）医薬事業（3）海外事業,東京都豊島区高田3-24-1,1928,スタンダード市場,,2811,"30,000百万円",https://www.taisho.co.jp/,
2024-08-01,沢井製薬株式会社,医薬品メーカー業界,36,■事業内容：医薬品の製造販売及び輸出入,大阪府大阪市淀川区宮原5-2-30,1948,,38.8,2381,"41,200百万円",http://www.sawai.co.jp/,
2024-07-01,ジョンソン・エンド・ジョンソン株式会社,医療機器メーカー業界,5,■事業内容：総合医療・健康関連用品の輸入・製造販売,東京都千代田区西神田3-5-2,1978,,,2537,"8,000百万円",http://www.jnj.co.jp/,
2024-08-01,株式会社ポピンズエデュケア,福祉・介護関連サービス,6,■事業内容教育：保育施設の企画・運営、保育士研修事業(海外留学・研修・視察の企画・斡旋、eラーニング他)、設立以来、35年以上にわたり育児支援・介護サービスのトップブランドとして業界をリードしています。全国に330ヶ所以上の施設を運営。,東京都渋谷区広尾5-6-6広尾プラザ5F,1987,,40.7,5685,96百万円,http://www.poppins.co.jp/,
2024-08-01,株式会社 大塚製薬工場,医薬品メーカー業界,11,■事業内容：臨床栄養製品を中心とした医薬品、医療機器、機能性食品等の製造、販売および輸出入,徳島県鳴門市撫養町立岩字芥原115,1969,,38.9,2266,80百万円,https://www.otsukakj.jp/,
2024-08-01,大鵬薬品工業株式会社,医薬品メーカー業界,45,■事業内容：医薬品、医薬部外品、医療機器、食料品、日用品雑貨などの製造、販売及び輸出入,東京都千代田区神田錦町1-27,1963,,42.1,2170,200百万円,https://www.taiho.co.jp/,
2024-08-01,バイエル薬品株式会社,医薬品メーカー業界,8,■事業内容：医薬品、医療機器、動物用医薬品の開発、輸入、製造、販売■事業の特徴：医療用医薬品、ラジオロジー＆インターベンショナル（画像診断関連製品）、動物用薬品の3事業からなるヘルスケア企業です。医療用医薬品部門では、循環器領域、腫瘍・血液領域、婦人科・皮膚科領域、眼科領域の4領域に注力しています。,大阪府大阪市北区梅田2-4-9ブリーゼタワー,1973,,41.0,2660,"2,273百万円",http://byl.bayer.co.jp/scripts/pages/jp/index.php,
2024-08-01,杏林製薬株式会社,医薬品メーカー業界,6,2023年4月にグループ体制を刷新し、その成果を新薬研究開発や社員の「やりがい」「安心感」につなげています。,東京都千代田区大手町1-3-7,1940,プライム市場,,1457,,https://www.kyorin-pharm.co.jp/,
2024-07-01,株式会社チャーム・ケア・コーポレーション,福祉・介護関連サービス,1,■介護付有料老人ホーム運営／特定施設入居者生活介護■住宅型有料老人ホーム運営／訪問介護、通所介護、居宅介護支援■サービス付き高齢者向け住宅運営,【大阪本社】大阪府大阪市北区中之島3丁目6番32号 ダイビル本館21F【東京本社】東京都渋谷区渋谷3-28-15 渋谷S.野口Bldg.5F,2005,プライム市場,,2893,27億5900万円,http://www.charmcc.jp,代表取締役会長 兼 社長 下村 隆彦
2024-07-01,一冨士フードサービス株式会社,福祉・介護関連サービス,2,■事業内容： 給食請負折詰料理その他の飲食品製造販売厨房設備の設計施工および厨房器具の製造ならびに販売旅館業レストラン、喫茶店経営建物および附属施設の管理、清掃給食管理に関するコンピューターソフトの販売および賃貸食料品および日用雑貨の販売ならびに卸売業特定保健指導事業に関する業務農作物の販売不動産賃貸に関する業務前各号に附帯する一切の事業,大阪府大阪市北区梅田3-3-20,2004,,,16591,10百万円,https://www.ifsco-group.com/index.html,
2024-07-01,ＡＬＳＯＫ介護株式会社,福祉・介護関連サービス,2,■事業内容：居宅介護支援、訪問介護、訪問看護/リハ、通所介護（デイサービス）、グループホーム、サービス付き高齢者向け住宅、有料老人ホーム、小規模多機能、ショートステイ、包括支援センターなど■事業理念：『ＡＬＳＯＫの介護』は、一人ひとりのお客様に誠実に寄り添い、お客様の自分らしい暮らしをサポートすることで、お客様から確かな信頼を得るとともに、社会の負託に応えてまいります。,埼玉県さいたま市大宮区三橋2-795,1998,,,4438,100百万円,https://kaigo.alsok.co.jp/,
2024-08-01,株式会社ＪＭＤＣ,医療コンサルティング,16,■事業内容：医療統計データサービス診療報酬明細書（レセプト）と呼ばれる書類を用いたデータサービスを行っています。健康保険組合から集めたデータを収集し、分析、加工を施してクライアントに提供するのが主な事業となります。クライアントが抱えている様々な問題に対して、それに合ったソリューションを提供します。,東京都港区芝大門2-5-5住友芝大門ビル12F,2002,プライム市場,,431,"25,099百万円",http://www.jmdc.co.jp/,
2024-07-01,帝人ヘルスケア株式会社,医療機器メーカー業界,3,■概要・同社は、2002年に帝人における医薬医療事業の持ち株会社化に伴い設立された帝人ファーマにおける在宅医療機器事業に特化、医療用酸素濃縮器およびその他医療機器の販売、レンタルを目的として創業されました。・帝人における在宅医療機器は、82年に帝人は国産第一号の医療用膜型酸素濃縮器「マイルドサンソTO-40」を開発し異分野である在宅医療事業へ参入、基本方針としてレンタル方式、直販体制、専任担当者制を据えて、事業拡大のために取り組んできました。,東京都千代田区霞が関3-2-1霞が関コモンゲート西館,1994,,43.4,1932,100百万円,https://www.teijin-pharma.co.jp/recruit_thc/about/vision.html,
2024-08-01,株式会社トモズ,調剤薬局・ドラッグストア業界,10,■事業内容： ドラッグストア「トモズ」・「アメリカンファーマシー」・「メディコ」等調剤併設型ドラッグストア及び調剤薬局事業を主力事業としています。,東京都文京区西片1-15-15KDX春日ビル3F,1993,,33.9,1848,"1,160百万円",http://www.tomods.jp/,
2024-08-01,GEヘルスケア・ジャパン株式会社,医療機器メーカー業界,29,■事業内容：医用画像診断装置の開発・製造・輸出・輸入・販売・サービス、および生体情報モニター、循環器検査機器、病院情報システム等の医療機器、ネットワークの販売保守、バイオテクノロジー関連機器・試薬・ソフトウェアの輸出、輸入、販売、サービス,東京都日野市旭が丘4-7-127,1982,,45.0,1688,"1,000百万円",https://www.gehealthcare.co.jp/,
2024-07-01,日本ベーリンガーインゲルハイム株式会社,医薬品メーカー業界,9,■歴史：1885年、ドイツ南西部にあるライン河畔の町インゲルハイムに、ベーリンガーインゲルハイムは誕生しました。社名の由来は、創業者のアルベルト・ベーリンガー博士の名前と、創業の地インゲルハイムにちなんでいます。創業から1世紀余を経て、ベーリンガーインゲルハイムは、全世界に176の関連会社を有する国際製薬企業として、主に医療用医薬品、アニマルヘルス（動物用医薬品）、バイオ医薬品受託製造などの分野で活動しています。,東京都品川区大崎2-1-1ThinkPark_Tower_17F,1961,,,1670,"7,200百万円",https://www.boehringer-ingelheim.com/jp/,
2024-08-01,株式会社ニデック,医療機器メーカー業界,30,～眼科医療に関する製品の開発・製造・販売をしているリーディングカンパニーです～■事業内容：（1）医療分野…眼科医向け手術装置／検査診断装置／眼内レンズの設計、開発、製造、販売、修理、賃貸及び輸出入（2）眼鏡機器分野…眼鏡店向け自動検眼システム／測定機／加工機の設計、開発、製造、販売、修理、賃貸及び輸出入（3）コーティング分野…眼鏡レンズ／光学部品／フィルターのコーティング加工、販売及び輸出入（4）研究分野…人工視覚システムの開発,愛知県蒲郡市拾石町前浜34-14,1971,,43.0,1658,461百万円,http://www.nidek.co.jp/,
2024-08-01,マルホ株式会社,医薬品メーカー業界,求人なし,,大阪府大阪市北区中津1-5-22ダイビル,1949,,,1547,382 百万円,"Failed to retrieve page, status code: 410",代表取締役社長 杉田 淳
2024-08-01,中外製薬工業株式会社,医薬品メーカー業界,19,■事業内容：中外製薬工業は中外製薬が100％出資する生産に特化したグループ会社です。私たちは、中外製薬およびロシュ・グループの研究開発によって生み出された、抗体医薬をはじめとするバイオ医薬品や、高活性の合成医薬品、開発段階の治験薬の生産を行っています。革新的な医薬品を世界中の患者さんへ供給するために、グローバル競争力のある製品供給基盤の維持・向上を目指し、全従業員の英知を集結し日々邁進しています。,東京都北区浮間5-5-1,2006,,,1537,80百万円,http://cpmc.chugai-pharm.co.jp/index.html,
2024-08-01,株式会社EPファーマライン,CRO,82,■事業内容：私たちの事業は、医療を担う一員として、みなさんの健康を支えるお仕事です。弊社はEPSグループの一員として、「医薬品・医療・医療機器・ヘルスケア」業界に特化し、「DIサービス」「BPOサービス」「マルチチャネルプロモーションサービス」「ヘルスケアサービス」「医療機器サポートサービス」5つの基軸事業を原動力に、弊社だからできる多くの可能性を創出して、お客様に提供しております。,東京都豊島区西池袋3-27-12池袋ウェストパークビル,1997,,37.0,1485,100百万円,http://www.eppharmaline.co.jp/,
2024-08-01,日本メドトロニック株式会社,医療機器メーカー業界,16,■私たちのヘルスケアテクノロジーを通して、1秒に2人の患者さんが世界のどこかで意義のある生活を取り戻しています。私たちは幅広い領域の疾患治療への貢献を目指しています。日本国内のメドトロニックは、製品ポートフォリオを４つに分け、さらにそれぞれの専門領域を担うオペレーティングユニットとして事業を展開しています。,東京都港区港南1-2-70品川シーズンテラス,1975,,,1440,,"Failed to retrieve page, status code: 410",
2024-07-01,株式会社メディサイエンスプラニング,CRO,7,【会社概要】 同社は1982年の創立以来、30数年にわたり、わが国CROの一翼を担う存在として、薬事コンサルティングから、モニタリング、DM統計解析、市販後調査関連業務にいたるまで、お客様にワンストップサービスを提供しております。,東京都港区赤坂1-11-44赤坂インターシティ,1982,,,1386,100百万円,http://www.mpi-cro.co.jp/,
2024-07-01,シオノギファーマ株式会社,医薬品メーカー業界,4,シオノギファーマは、高付加価値で高品質の製品とサービスを提供する”技術開発型ものづくり企業”です。◎塩野義製薬の製造受託シオノギファーマは、塩野義製薬の生産部門が独立し、新たに設立された会社です。塩野義製薬の製品および治験薬の製造と、そのサプライチェーンマネジメントを担っています。◎外部受託技術・製法開発から治験薬ならびに医薬品の生産・調達・流通の受託、その他、分析受託、エンジニアリング受託、QAサービスなど幅広い領域のビジネスをSHIONOGIグループ外へも展開しています。,大阪府摂津市三島2-5-1,2018,,,1350,90百万円,https://www.shionogi-ph.co.jp/,
2024-06-01,富士フイルム和光純薬株式会社,診断薬・臨床検査機器・臨床検査試薬メーカー,1,■事業内容：試薬、化成品ならびに臨床検査薬の販売,大阪府大阪市中央区道修町3-1-2,1922,,,1370,"2,339百万円",http://ffwk.fujifilm.co.jp,
2024-07-01,シダーグループ【合同募集】（株式会社シダー／株式会社パイン）,福祉・介護関連サービス,2,【株式会社シダー】・通所介護・特定施設入居者生活介護・訪問看護・訪問介護・居宅介護支援・認知症対応型共同生活介護・短期入所生活介護※108拠点【株式会社パイン】・特定施設入居者生活介護・福祉用具レンタル事業・介護用品販売事業・介護保険住宅改修 ほか※5拠点,福岡県北九州市小倉北区足立2-1-1（株式会社シダー）,1981,スタンダード市場,,2045,4億3228万円（株式会社シダー）,http://www.cedar-web.com/,代表取締役社長 座小田 孝安（株式会社シダー）
2024-06-01,パラマウントケアサービス株式会社,福祉・介護関連サービス,1,■事業内容：電動ベッド・車いす等の福祉用具を全国の福祉用具貸与事業所（介護ショップ）に対してレンタル卸、及び販売卸を行っています。,東京都墨田区太平2-9-4,2004,,,1371,491百万円,https://www.paramount-careservice.jp/,
2024-08-01,帝人ファーマ株式会社,医薬品メーカー業界,9,■事業内容： 医薬品・医療機器の研究開発、製造、販売を行っています。■詳細：同社は、医薬品と医療機器の両分野をグローバルに展開するユニークな企業です。医療用医薬品は、骨・関節系、呼吸器系、循環・代謝系の3分野を中心として 全国展開、在宅医療機器も、酸素濃縮器を中心に業界トップシェアを誇っており、市場 から高い評価を得ています。現在、帝人グループにおける営業利益の1/3近くをあげている主要事業であり、今後もさらに積極的にビジネス展開を行う予定です。,東京都千代田区霞が関3-2-1飯野ビル,2002,,,1442,"10,000百万円",http://www.teijin-pharma.co.jp/index.html,
2024-08-01,ウェルビー株式会社,その他・各種スクール,29,■事業内容： （1）障害者総合支援法による就労移行支援（2）障害者総合支援法による就労定着支援（3）障害者総合支援法による自立訓練（生活訓練）（4）障害者総合支援法による特定相談支援（5）埼玉県委託事業による発達障害者就労支援センター（6）児童福祉法による児童発達支援（7）児童福祉法による放課後等デイサービス,東京都中央区銀座2-3-6銀座並木通りビル7F,2011,,36.4,1343,337百万円,https://corporate.welbe.co.jp/,
2024-07-01,ヒューマンライフケア株式会社【東証スタンダード市場ヒューマンHDグループ】,福祉・介護関連サービス,55,■事業概要：同社は介護、介護教育等、「少子高齢社会」をバックアップするサービスを提供しています。在宅介護（デイサービス、訪問介護、居宅介護支援）を中心に有料老人ホーム、グループホーム、小規模多機能型居宅介護等、幅広い運営を行っています。現在は全国188ヶ所で事業所を展開しています。,東京都新宿区西新宿7-5-25西新宿プライムスクエア1F,2010,,,2286,10百万円,http://hlc.athuman.com/,
2024-08-01,株式会社ハイメディック,病院・大学病院・クリニック,5,■事業内容：会員制検診センターの運営、会員制総合健康倶楽部「グランドハイメディック倶楽部」の会員権販売・運営■事業の特徴：会員制総合リゾート事業などを展開する、リゾートトラストグループのメディカル事業部門として同社は設立されました。昨今注目を集める予防医学を事業の軸としており、主にリゾートトラストの既存会員や富裕層向けに、「グランドハイメディック倶楽部」というサービスを展開しています。同倶楽部では、国内有数の医療機関と連携した人間ドックやエイジングケアなどの医療サービスを提供しています。,東京都渋谷区代々木4-36-19リゾートトラスト東京ビル,1992,,38.0,138,300百万円,https://www.himedic.co.jp/,
2024-06-01,株式会社八神製作所,医療機器メーカー業界,2,■事業内容： 当社はすべての人の健康のために、地域社会とつながり、予防・医療・介護のサービスを通じて、総合的に「人」を支える企業です。【当社の事業内容】●医療 医療機器の販売、メンテナンス及びレンタル●予防 健康関連製品、サービスの販売●介護 介護用品・福祉用具の販売及びレンタル/住宅改修■特徴： ・女性の活躍推進企業認定：2018年3月、女性活躍推進法に基づく認定制度である『えるぼし（2段階目）』を取得しました。・2025年HCCプラン・ISO認証取得・健康経営優良法人認定企業,愛知県名古屋市中区千代田2-16-30,1945,,36.0,1104,400百万円,https://www.yagami.co.jp/,
2024-06-01,株式会社リビングプラットフォーム,福祉・介護関連サービス,1,介護事業・障がい者支援事業・保育事業・グループ会社の経営管理等,北海道札幌市中央区南二条西20丁目291番地,2011,グロース市場,,,357百万円（2022年1月1日現在）,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010565584/-tab__jd/: 'NoneType' object has no attribute 'get',代表取締役 金子 洋文
2024-08-01,株式会社リブドゥコーポレーション,医療機器卸,8,■事業内容：大人用紙おむつ、介護用品・用具、メディカルディスポーザブル用品（医療用不織布製品、キット製品）の製造および販売,愛媛県四国中央市金田町半田乙45-2,1965,,38.0,1039,773百万円,https://www.livedo.jp/,
2024-08-01,エイツーヘルスケア株式会社,CRO,10,■事業概要：臨床開発モニタリング事業／データマネジメント／統計解析事業／臨床システム事業／海外事業／教育研修事業,東京都文京区小石川1-4-1住友不動産後楽園ビル20F,2003,,38.0,1151,100百万円,http://www.a2healthcare.com,
2024-07-01,ノボ ノルディスク ファーマ株式会社,医薬品メーカー業界,1,■医療用医薬品、医療機器の開発、輸入・製造、販売＜取扱製品＞・インスリン製剤・GLP-1受容体作動薬・成長ホルモン製剤・血液凝固因子製剤・それらの投与に必要な注入器や注射針,東京都千代田区丸の内2-1-1 明治安田生命ビル,1980,,,1135,21億405万円,https://www.novonordisk.co.jp/,代表取締役社長 キャスパー ブッカ マイルヴァン
2024-08-01,株式会社レデイ薬局,調剤薬局・ドラッグストア業界,1,■保険調剤薬局の経営薬剤師は薬局勤務。健康サポート機能を充実させる薬局や高度薬学管理機能の専門薬局を展開。（基幹病院門前型、医療モール型、ドラッグストア併設型、在宅医療特化型など）■ドラッグストアの経営登録販売者や管理栄養士などの資格を活かし、病気の予防、治療そして美容にアプローチ。■化粧品専門店の経営インターネット通信販売（ハートショップ）の経営介護ショップの経営,愛媛県松山市南江戸4-3-37,1968,プライム市場,,3747,"5億9,864万円（2022年5月）",https://www.lady-drug.co.jp/,代表取締役社長 白石 明生
2024-08-01,株式会社ベネフィット・ワン,その他医療関連,13,【福利厚生アウトソーシング事業】・福利厚生代行サービス『ベネフィット・ステーション』の運営・カフェテリアプランの導入コンサルティング・運営管理の代行 他【インセンティブ事業】・永年勤続や資格取得等に対するインセンティブ・ポイントプログラムの管理・運営・ポイント交換サイト運営【ヘルスケア事業】・健診や人間ドックの予約代行・特定保健指導・メンタルヘルスケア事業 他,東京都新宿区西新宿三丁目7番1号 新宿パークタワー37階,1996,,,1549,15億2700万円（2024年3月末現在）,"Failed to retrieve page, status code: 410",代表取締役社長 白石 徳生
2024-08-01,メディキット株式会社,医療機器メーカー業界,3,"■会社概要：設立以来、世界を目指して成長を続ける医療機器メーカーです。2005年6月にジャスダック証券取引所に上場し、雑誌『AERA』で超優良企業として上場3,700社の中から16位に選ばれた実績もあります。■事業内容： 医療機器の開発・製造・販売・輸出",東京都文京区湯島1-13-2,1984,スタンダード市場,39.7,182,"1,241百万円",https://www.medikit.co.jp/corporate/about.html,
2024-07-01,日本ホスピスホールディングス株式会社【グロース上場】,その他医療関連,2,高齢化社会を迎えた現代社会的において社会貢献度の高いサービスを提供しています。私たちと一緒に貢献・成長をしていきたい方をお待ちしております。,東京都千代田区丸の内3-3-1新東京ビル2階,2017,グロース市場,50.8,1353,378百万円,https://www.jhospice.co.jp/ja/index.html,
2024-08-01,株式会社モリタ,医療機器卸,5,■概要：1916年以来約100年の歴史を誇る、歯科医療業界No.1の総合歯科医療商社であり、そのシェアは50％を超えます。主な事業内容は以下のとおりです。・歯科医療機械、器具、材料、情報機器などの歯科医療全般にわたるハードウェアの流通 ・歯科医療情報などのソフトウェアの紹介 ・歯科診療システム・歯科医院設立・歯科医院経営などのコンサルティング業務,大阪府吹田市垂水町3-33-18,1916,,43.3,957,584百万円,http://japan.morita.com/,
