更新日,名称,業界(小分類),求人有無,所在地,設立,平均年齢,従業員数,企業URL,代表者,資本金,事業内容
2024-08-01,株式会社トータルケアサービス,調剤薬局・ドラッグストア業界,求人なし,岐阜県岐阜市早苗町6-25,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 住田 文男,3 百万円,
2024-08-01,株式会社アルト,福祉・介護関連サービス,求人なし,岐阜県岐阜市吹上町6-21,2001,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小森 薫,10 百万円,
2024-08-01,医療法人社団岡本会,病院・大学病院・クリニック,求人なし,石川県小松市小馬出町13,1999,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 岡本 進,351 百万円,
2024-08-01,医療法人社団新村病院,病院・大学病院・クリニック,求人なし,石川県白山市月橋町722-12,2001,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 新村 康二,,
2024-08-01,医療法人社団中田内科病院,病院・大学病院・クリニック,求人なし,石川県かほく市内日角6-35-1,1986,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,医療法人藤森医療財団,病院・大学病院・クリニック,求人なし,長野県松本市中央2-9-8,1951,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 藤森 芳史,159 百万円,
2024-08-01,医療法人社団ともいき会,病院・大学病院・クリニック,求人なし,岐阜県岐阜市昭和町2-11,1999,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 小牧 卓司,452 百万円,
2024-08-01,医療法人柳泉会,その他医療関連,求人なし,長野県小諸市大字諸350,1991,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,418 百万円,
2024-08-01,医療法人暁会,その他医療関連,求人なし,長野県伊那市西町4906,1968,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 小松 大介,,
2024-08-01,社会医療法人恵仁会,病院・大学病院・クリニック,求人なし,長野県佐久市中込1-17-8,1972,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 黒澤 一也,"1,225 百万円",
2024-08-01,一般社団法人岐阜県医師会,その他医療関連,求人なし,岐阜県岐阜市薮田南3-5-11岐阜県医師会館,1947,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表理事 河合 直樹,,
2024-08-01,医療法人社団誠道会,病院・大学病院・クリニック,求人なし,岐阜県各務原市鵜沼山崎町6-8-2,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 磯野 倫夫,370 百万円,
2024-08-01,医療法人社団成信会,病院・大学病院・クリニック,求人なし,岐阜県瑞穂市本田1017-1,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 福田 信臣,414 百万円,
2024-08-01,医療法人社団誠心会,病院・大学病院・クリニック,求人なし,静岡県浜松市浜名区四大地9-68,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 大村 久美子,"2,492 百万円",
2024-08-01,医療法人吉田病院,病院・大学病院・クリニック,求人なし,愛知県名古屋市千種区大久手町5-19,1969,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 吉田 洋,"1,009 百万円",
2024-08-01,医療法人慶和会,病院・大学病院・クリニック,求人なし,愛知県名古屋市西区則武新町3-8-20,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 伊藤 光,49 百万円,
2024-08-01,医療法人細川外科クリニック,病院・大学病院・クリニック,求人なし,愛知県名古屋市中村区西米野町1-75-2,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 細川 秀一,293 百万円,
2024-08-01,医療法人ごきそレディスクリニック,病院・大学病院・クリニック,求人なし,愛知県名古屋市昭和区阿由知通3-10,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 小川 麻子,308 百万円,
2024-08-01,医療法人明眼会,病院・大学病院・クリニック,求人なし,愛知県名古屋市熱田区六番2-2-30,1987,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 西垣 士郎,172 百万円,
2024-08-01,医療法人開生会,病院・大学病院・クリニック,求人なし,愛知県名古屋市中川区月島町9-9,1987,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 菅 榮,595 百万円,
2024-08-01,医療法人聖信会,病院・大学病院・クリニック,求人なし,愛知県名古屋市守山区大谷町2-51,2000,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 楯 信太郎,303 百万円,
2024-08-01,株式会社川徳,福祉・介護関連サービス,求人なし,岐阜県大垣市林町7-982-2,1972,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,10 百万円,
2024-08-01,医療法人翔友会,福祉・介護関連サービス,求人なし,愛知県岡崎市羽根町字陣場173,1992,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 永坂 佳規,219 百万円,
2024-08-01,株式会社トーカイ薬局,調剤薬局・ドラッグストア業界,無,愛知県春日井市中央台7-9-2,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小川 勝人,46 百万円,
2024-08-01,医療法人堀尾医院,病院・大学病院・クリニック,求人なし,愛知県碧南市新川町5-108,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,304 百万円,
2024-08-01,医療法人輝,病院・大学病院・クリニック,無,愛知県刈谷市末広町3-6-1,1998,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 畔柳 純一,"2,223 百万円",
2024-08-01,医療法人大峰会,病院・大学病院・クリニック,求人なし,愛知県安城市百石町2-26-1,1998,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 大野 敏行,283 百万円,
2024-08-01,医療法人健鷹会,福祉・介護関連サービス,求人なし,愛知県常滑市森西町1-12,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 鷹津 俊麿,"2,027 百万円",
2024-08-01,医療法人コジマ会,福祉・介護関連サービス,求人なし,愛知県東海市富木島町八幡南20,1991,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 小嶋 純二郎,630 百万円,
2024-08-01,医療法人社団以心会,病院・大学病院・クリニック,求人なし,愛知県豊田市駒新町金山1-12,1978,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 深尾 俊一,"2,974 百万円",
2024-08-01,医療法人静心会,医薬品メーカー業界,求人なし,愛知県豊明市栄町南舘3-879,1958,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 藤田 潔,"2,071 百万円",
2024-08-01,医療法人藤枝会,その他医療関連,求人なし,愛知県海部郡大治町大字花常字中切61-1,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 河西 稔,"1,811 百万円",
2024-08-01,医療法人良斉会,病院・大学病院・クリニック,求人なし,愛知県海部郡飛島村大字服岡4-8,1985,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 荒川 直之,"1,560 百万円",
2024-08-01,医療法人星野病院,病院・大学病院・クリニック,求人なし,愛知県新城市大野字上野70-3,1999,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 星野 順一郎,530 百万円,
2024-08-01,公益財団法人三重県健康管理事業センター,その他医療関連,求人なし,三重県津市観音寺町446-30,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 水谷 仁,,
2024-08-01,有限会社分部,調剤薬局・ドラッグストア業界,求人なし,三重県津市東丸之内6-14,1985,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 五十川 定東,8 百万円,
2024-08-01,医療法人社団大和会,福祉・介護関連サービス,求人なし,三重県いなべ市北勢町阿下喜680,1980,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 日下 政哉,"1,580 百万円",
2024-08-01,株式会社テンユー,調剤薬局・ドラッグストア業界,求人なし,滋賀県大津市清和町11-3,1994,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 天井 雄司,10 百万円,
2024-08-01,社会福祉法人愛知慈恵会,福祉・介護関連サービス,求人なし,愛知県一宮市萩原町西御堂字虫祭1-1,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 谷川 喜久雄,"3,896 百万円",
2024-08-01,医療法人知邑舎,病院・大学病院・クリニック,求人なし,愛知県岩倉市川井町北海戸1,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 木村 俊子,985 百万円,
2024-08-01,株式会社馬場酸素,医療機器メーカー業界,求人なし,大阪府大阪市福島区鷺洲4-6-26,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 馬場 俊和,30 百万円,
2024-08-01,医療法人村川医院,病院・大学病院・クリニック,求人なし,大阪府大阪市此花区伝法2-4-29,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 村川 浩一,364 百万円,
2024-08-01,医療法人森内科,病院・大学病院・クリニック,求人なし,大阪府大阪市此花区梅香3-33-14,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 森 滋喜,435 百万円,
2024-08-01,医療法人西診療所,病院・大学病院・クリニック,求人なし,大阪府大阪市港区弁天1-2-2オーク2番街東 6Ｆ,1994,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 西 紀,"1,430 百万円",
2024-08-01,医療法人天斗会中山医院,病院・大学病院・クリニック,求人なし,大阪府大阪市港区市岡元町2-4-16,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 中山 富雄,217 百万円,
2024-08-01,医療法人誠昌会,病院・大学病院・クリニック,求人なし,大阪府大阪市港区夕凪2-16-9ポートビル 1Ｆ,2000,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 江嵜 秀和,278 百万円,
2024-08-01,医療法人河村クリニック,病院・大学病院・クリニック,求人なし,大阪府大阪市天王寺区上本町5-6-9,1993,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 河村 裕憲,396 百万円,
2024-08-01,医療法人至心会,病院・大学病院・クリニック,求人なし,大阪府大阪市東淀川区豊新5-18-2,1998,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 喜多 義将,407 百万円,
2024-08-01,医療法人野中会,病院・大学病院・クリニック,無,大阪府大阪市東成区大今里西2-7-17,1978,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 野中 一彦,"1,068 百万円",
2024-08-01,医療法人穂翔会,その他医療関連,求人なし,大阪府大阪市生野区田島4-2-1,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 村田 高穂,"1,042 百万円",
2024-08-01,医療法人榊原クリニック,病院・大学病院・クリニック,求人なし,大阪府大阪市旭区赤川2-14-5,1999,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,326 百万円,
2024-08-01,医療法人焦クリニック,病院・大学病院・クリニック,求人なし,大阪府大阪市旭区大宮4-9-39,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 焦 昇,337 百万円,
2024-08-01,医療法人笹川皮膚科,病院・大学病院・クリニック,求人なし,大阪府大阪市城東区新喜多1-1-15,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 笹川 征雄,215 百万円,
2024-08-01,医療法人西川医院,病院・大学病院・クリニック,求人なし,大阪府大阪市阿倍野区天王寺町北2-16-10,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 西川 正博,271 百万円,
2024-08-01,医療法人竹安医院,病院・大学病院・クリニック,求人なし,大阪府大阪市住吉区住吉1-10-24,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 竹安 一郎,334 百万円,
2024-08-01,医療法人ウマノ整形外科クリニック,病院・大学病院・クリニック,求人なし,大阪府大阪市東住吉区矢田2-17-3,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 馬野 隆信,601 百万円,
2024-08-01,医療法人井上クリニック,病院・大学病院・クリニック,求人なし,大阪府大阪市東住吉区杭全5-8-15,1998,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 井上 芳則,493 百万円,
2024-08-01,医療法人松山診療所,病院・大学病院・クリニック,求人なし,大阪府大阪市東住吉区住道矢田1-25-5,1987,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 松山 茂樹,234 百万円,
2024-08-01,医療法人愛恵会,病院・大学病院・クリニック,求人なし,大阪府大阪市阿倍野区阿倍野筋1-1-43,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 大澤 昭朗,51 百万円,
2024-08-01,医療法人慶元クリニック,病院・大学病院・クリニック,求人なし,大阪府大阪市東住吉区山坂5-16-25パールタウン鶴ケ丘 1Ｆ,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 慶元 光男,116 百万円,
2024-08-01,医療法人フクセ耳鼻咽喉科,病院・大学病院・クリニック,求人なし,大阪府大阪市住之江区中加賀屋3-10-18ドリーム中加賀屋 2Ｆ,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 福瀬 信也,543 百万円,
2024-08-01,有限会社ランタック,医療機器卸,求人なし,愛知県一宮市伝法寺11-11-11,2001,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 神谷 竜一,4 百万円,
2024-08-01,医療法人宏陽会,病院・大学病院・クリニック,求人なし,大阪府大阪市鶴見区横堤4-25-5,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 古川 宏太郎,459 百万円,
2024-08-01,医療法人入口眼科,病院・大学病院・クリニック,求人なし,大阪府堺市西区鳳東町2-186-3,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 入口 辰雄,213 百万円,
2024-08-01,医療法人土橋内科医院,病院・大学病院・クリニック,求人なし,大阪府堺市南区竹城台3-3-4,1998,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 土橋 康男,225 百万円,
2024-08-01,医療法人杏和会,病院・大学病院・クリニック,求人なし,大阪府堺市中区八田南之町277,1956,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 後藤田 公一,8 百万円,
2024-08-01,医療法人山下内科小児科,病院・大学病院・クリニック,求人なし,大阪府豊中市北緑丘2-1-23202,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 山下 泰史,539 百万円,
2024-08-01,シップヘルスケアリサーチ＆コンサルティング株式会社,医療コンサルティング,求人なし,大阪府吹田市桃山台5-20-1,1994,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 多久 浩史,10 百万円,
2024-08-01,医療法人荒木内科医院,病院・大学病院・クリニック,求人なし,大阪府吹田市山田西2-4-27,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 荒木 健,407 百万円,
2024-08-01,株式会社サンプラザ加地,調剤薬局・ドラッグストア業界,求人なし,大阪府枚方市岡東町12-1枚方市駅前サンプラザビル1号館 501,1982,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 加地 尚子,10 百万円,
2024-08-01,医療法人てるばやし眼科,病院・大学病院・クリニック,求人なし,大阪府枚方市楠葉並木2-13-4,1994,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 照林 宏文,84 百万円,
2024-08-01,医療法人谷掛脳神経外科,病院・大学病院・クリニック,求人なし,大阪府枚方市岡東町15-19,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 谷掛 龍夫,"1,266 百万円",
2024-08-01,医療法人城青会,病院・大学病院・クリニック,求人なし,大阪府枚方市都丘町3-11,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 城 知宏,145 百万円,
2024-08-01,医療法人浜田整形外科クリニック,病院・大学病院・クリニック,求人なし,大阪府枚方市伊加賀北町5-20ファーストピア枚方 101,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 濱田 茂幸,272 百万円,
2024-08-01,医療法人奥野眼科,病院・大学病院・クリニック,求人なし,大阪府茨木市総持寺駅前町5-32,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 奥野 眞知子,10 百万円,
2024-08-01,医療法人広森眼科クリニック,病院・大学病院・クリニック,求人なし,大阪府八尾市弓削町1-3大和ビル 2Ｆ,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 牧野 一雄,134 百万円,
2024-08-01,医療法人百賀時の会,福祉・介護関連サービス,求人なし,大阪府富田林市喜志町3-13-10,1993,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 木村 伸悟,764 百万円,
2024-08-01,医療法人大貴会,病院・大学病院・クリニック,求人なし,大阪府寝屋川市対馬江東町11-8対馬江ビル 2Ｆ,1997,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 大星 高,366 百万円,
2024-08-01,医療法人山本医院,病院・大学病院・クリニック,求人なし,大阪府松原市東新町3-5-17松原アーバンコンフォート 1Ｆ,1992,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 山本 貞夫,207 百万円,
2024-08-01,医療法人井上産婦人科クリニック,病院・大学病院・クリニック,求人なし,大阪府大東市氷野1-8-26,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 井上 武司,,
2024-08-01,社会医療法人生長会,病院・大学病院・クリニック,求人なし,大阪府堺市中区東山500-3ベルランド総合病院管理棟 3Ｆ,1964,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 亀山 雅男,"17,473 百万円",
2024-08-01,医療法人吉原クリニック,病院・大学病院・クリニック,求人なし,大阪府柏原市上市3-10-13,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 吉原 秀高,950 百万円,
2024-08-01,医療法人愛幸会,病院・大学病院・クリニック,求人なし,大阪府羽曳野市伊賀11-1,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 天野 浩嗣,331 百万円,
2024-08-01,医療法人松島眼科,病院・大学病院・クリニック,求人なし,大阪府門真市幸福町5-17,1988,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 松島 正史,185 百万円,
2024-08-01,医療法人成和会渡辺医院,病院・大学病院・クリニック,求人なし,大阪府門真市野里町15-8,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 渡邊 則夫,323 百万円,
2024-08-01,医療法人飯藤産婦人科,病院・大学病院・クリニック,求人なし,大阪府門真市末広町2-7,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 飯藤 順一,802 百万円,
2024-08-01,医療法人秀裕会,病院・大学病院・クリニック,求人なし,大阪府門真市末広町1-11,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 完山 裕基,865 百万円,
2024-08-01,医療法人任医院,病院・大学病院・クリニック,求人なし,大阪府門真市舟田町39-10,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 任 書治,306 百万円,
2024-08-01,医療法人南野産婦人科クリニック,病院・大学病院・クリニック,求人なし,大阪府東大阪市鴻池本町6-26,2000,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 南野 智德,95 百万円,
2024-08-01,医療法人真和会,その他医療関連,求人なし,大阪府東大阪市荒川1-5-24,1995,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 晋山 武,870 百万円,
2024-08-01,医療法人坪倉産婦人科,病院・大学病院・クリニック,求人なし,大阪府東大阪市若江本町1-3-22,1990,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 坪倉 省吾,347 百万円,
2024-08-01,株式会社クリエイト兵庫,その他医療関連,求人なし,兵庫県神戸市長田区腕塚町2-1-15,1992,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 森 和子,10 百万円,
2024-08-01,医療法人社団三聖会,病院・大学病院・クリニック,求人なし,兵庫県神戸市中央区琴ノ緒町4-2-5,1999,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 岡本 恭行,379 百万円,
2024-08-01,医療法人社団東峰会,病院・大学病院・クリニック,求人なし,兵庫県神戸市西区岩岡町西脇838,1991,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 瀬川 義弘,661 百万円,
2024-08-01,株式会社ぼうしや薬局,調剤薬局・ドラッグストア業界,求人なし,兵庫県姫路市駅前町259ぼうしやビル 1Ｆ,1954,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松岡 洋平,10 百万円,
2024-08-01,特定医療法人光寿会,病院・大学病院・クリニック,求人なし,兵庫県姫路市北条1-279,1956,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 江尻 一成,"3,465 百万円",
2024-08-01,医療法人社団仁恵会,病院・大学病院・クリニック,求人なし,兵庫県明石市天文町1-5-11,1984,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 石井 洋光,602 百万円,
2024-08-01,医療法人内海慈仁会,病院・大学病院・クリニック,求人なし,兵庫県西宮市津門稲荷町5-8,1959,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 内海 浩彦,"4,780 百万円",
2024-08-01,医療法人信和会,病院・大学病院・クリニック,求人なし,兵庫県西宮市上鳴尾町4-31,1954,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 山中 若樹,"5,995 百万円",
2024-08-01,医療法人社団三谷眼科,病院・大学病院・クリニック,求人なし,兵庫県伊丹市中央3-2-29,1989,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 横山 和佐子,10 百万円,
2024-08-01,医療法人康成会,病院・大学病院・クリニック,求人なし,奈良県北葛城郡河合町星和台2-1-20,1996,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 堀井 康弘,"2,640 百万円",
2024-08-01,医療法人富田会,病院・大学病院・クリニック,求人なし,和歌山県岩出市紀泉台2,1993,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 冨田 建夫,"1,966 百万円",
2024-08-01,医療法人平井医院,病院・大学病院・クリニック,求人なし,岡山県瀬戸内市長船町福岡102-1,1993,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 近藤 誠之,471 百万円,
