更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,平均年齢,企業URL,代表者,資本金,上場市場名
2024-08-01,医療法人社団平郁会,病院・大学病院・クリニック,11,■事業内容： 在宅診療・外来診療・健康診断・予防接種■特徴： 関東を中心に16拠点のクリニックを展開している平郁会グループ。重症疾患診察・専門医による診療体制・チーム医療など、在宅医療を提供するための基盤を固め、今後は在宅医療を求められるより多くの患者様に対して価値提供を目指していきます。,東京都中央区東日本橋1-1-72F,2008,70,,https://www.heiikukai.com/,,"1,000百万円",
2024-06-01,ベテリナリアンズシナジー株式会社,病院・大学病院・クリニック,2,■事業内容： 専科と救急センターからなる2次診療の動物病院「どうぶつの総合病院」の運営,埼玉県川口市石神815,2011,78,,なし,,30百万円,
2024-08-01,株式会社バイオジェノミクス,医薬品メーカー業界,2,■事業内容：（1）乳酸菌生産物質PS-B1の製造・卸・OEM供給（2）乳酸菌発酵製品研究・開発（3）有用微生物の研究・開発（4）皮膚常在菌の研究（5）美肌菌バンク事業（6）美肌フローラの製造,長崎県大村市雄ヶ原町147-40,1992,34,37.0,http://biogenomics.co.jp/,,10百万円,
2024-06-01,有限会社藤田企画,福祉・介護関連サービス,1,■事業内容： 介護保険法に基づく認知症対応型共同生活介護 介護保険法に基づく通所介護サービス事業■概要：認知症対応型共同生活介護事業グループホーム癒しの家の運営を行っている会社です。■グループホーム癒しの家：癒しの家は、少人数の認知症を伴う介護認定を受けた方が、家庭的な環境の下で「心」を理念とした専属スタッフによるケアを受けながら、共同生活するための専用住宅です。,新潟県上越市清里区岡野町761,,98,,http://www.gh-iyashinoie.com,,10百万円,
2024-07-01,株式会社メックジャパン,その他医療関連,3,■事業内容医療施設設計・施工、医療環境調査、医療用製品販売■事業詳細・医療施設設計・施工：病棟・病室、手術室、ICU・CCU・NICU、無菌病室等・医療環境調査：手術室や無菌病室、安全キャビネット、CPU室、動物実験室、無菌検査室などのクリーンルームの管理・医療用製品販売：メディカルコンソール、クリーンルーム用超高性能フィルター、医療ガス、その他の販売■同社について病院や研究施設の設計・施工を通じて安心安全な医療に貢献しています。,神奈川県横浜市中区日ノ出町1-76-1インペリアル横浜パークサイド202,1993,11,,https://www.mecjapan.com/,,30百万円,
2024-06-01,株式会社九州医事新報社,医療広告代理店・出版社・マーケティング・リサーチ,1,■会社概要：Vision地域医療経営に、挑戦をもっと。Mission地域医療経営の、インフォメーションパートナー,福岡県福岡市博多区東光1-3-8第13博多東IRビル2F,2013,16,46.0,https://company.k-ijishinpo.jp/,,2百万円,
2024-06-01,インクルード株式会社,福祉・介護関連サービス,1,■社会参加・復職（リワーク）・就職支援施設「ニューロリワーク」の運営■特定相談支援事業所「インクルード相談支援センター」の運営,東京都渋谷区渋谷1-1-3 第35荒井ビル4階,2013,,,https://include-inc.co.jp/,代表取締役社長 尾崎 浩一,1億円,
2024-08-01,株式会社クリュートメディカルシステムズ,医療機器メーカー業界,6,■事業内容：取扱製品は眼科用診断機。設計開発主体のファブレス企業。■ビジョン：大手光学機器メーカーからのスピンアウト企業です。社名CREWTの由来は、既存の優れた技術（Technology）を織り上げ（Weave）新たな価値を創造（Creation）する、の頭文字をとった造語。このスピリッツで、自分たちも「わくわく」し、ユーザも「わくわく」するようなモノづくりをすすめ、患者にも医療従事者にも優しい医療機器を開発し、人々のQOL向上に貢献していきたいと考えております。,東京都新宿区津久戸町3-11TH1ビル飯田橋3F,2013,33,,http://www.crewt.co.jp/,,90百万円,
2024-06-01,ファミリー・ホスピス株式会社,福祉・介護関連サービス,1,◆高齢者向けの住宅運営及び介護サービス事業◆コンストラクション事業◆コンサルテーション事業,東京都千代田区丸の内3-3-1 新東京ビル2F,2011,1392,,http://family-hospice.com/index.html,代表取締役 高橋 正,5000万円,
2024-08-01,株式会社ケアスター,福祉・介護関連サービス,1,■事業内容： 福祉用具の選定の援助、取り付け、調整、貸与,茨城県土浦市桜町1-12-15,2015,4,,なし,,30百万円,
2024-06-01,株式会社いなほ,調剤薬局・ドラッグストア業界,1,調剤薬局,大阪府富田林市久野喜台２丁目１５－５,2004,,,https://inaho-ltd.co.jp/index.html,代表取締役 下町 隆彦,2600万円,
2024-07-01,株式会社ゆうメディカルサービス,病院・大学病院・クリニック,1,■当社について：当社は、大阪府・兵庫県・徳島県に40施設を有する天満病院グループの1社です。当グループでは、医療・介護・福祉を総合的に提供しており、それぞれの専門知識を持つスタッフが多方面から連携することで、利用者様がいつまでも安心して歳を重ね、希望する地域で暮らし続けられる医療やサービスのあり方を追い求めています。また、グループが持つ高度な医療技術を世界に届けることを目標に、マレーシアに株式会社を設立しました。海外展開にも力を入れています。,徳島県徳島市蔵本町1-25-11,2009,,,https://tenma-hpg.com/company/,,1百万円,
2024-07-01,株式会社ハート・オーガナイゼーション,その他医療関連,1,■事業内容：・e-casebook LIVE（ライブ研究会プラットフォーム）・・・どこにいても世界の専門医からライブを通じて学べるサービスです。各地の学会・研究会で、学びたくても時間や距離の制約で参加が難しかった医師に、オンラインで「参加する」仕組みを提供します。・Caseline（遠隔医療支援システム）・・・救急搬送・処置中の現場医師と遠隔の専門医とをリアルタイムで繋ぎ、施設内で表示している医用画像・映像を共有しながらの音声通話で、遠隔診断をサポートするシステムです。,大阪府大阪市淀川区西中島5-5-15新大阪セントラルタワー4F,2004,50,,https://www.heartorg.co.jp/,,200百万円,
2024-05-01,株式会社Ａｄｄ　Ｐｅｔ,病院・大学病院・クリニック,2,■事業内容： 動物病院ペット関連コンサルティング業務ペットショップ様への往診巡回業務,埼玉県さいたま市大宮区吉敷町1-64-1,2011,75,,https://ppmc.co.jp/,,10百万円,
2024-06-01,株式会社リアクトシステム,医療機器メーカー業界,1,■事業内容： （1）医療器、吸引管（カニューレ）、注射針、EOG滅菌代行・請負（2）医療機器・実験装置等の設計・製造・販売（3）上記に伴う工事やメンテナンス,大阪府東大阪市長田中1-2-10,2005,14,29.0,"Failed to retrieve page, status code: 410",,10百万円,
2024-07-01,株式会社ドリーム・メディカル,調剤薬局・ドラッグストア業界,5,■主な事業内容：処方せん調剤及び薬局の経営／在宅医療／独立開業支援,愛知県大府市長草町山口58-4,1949,59,,http://dream-medical.co.jp/,,10百万円,
2024-08-01,医療法人社団ＳＥＩＳＥＮ,病院・大学病院・クリニック,2,■事業内容： 清泉クリニック整形外科（東京：荻窪、五反田、静岡、鹿児島、福岡）通所リハビリテーションせいせん（東京五反田、静岡、鹿児島）,静岡県駿東郡清水町柿田191-1,2006,200,,"Failed to retrieve page, status code: 410",,40百万円,
2024-05-01,メディカルスキャニング／医療法人社団水聖会,病院・大学病院・クリニック,1,MRI・CTの画像検査診断に特化した専門クリニック★大学病院、医療機関(医科・歯科)、健保組合などから検査のご紹介を頂いています。「当日検査、当日診断、当日結果渡し」にこだわり、患者様視点での医療の提供を心がけています。★シーメンス社、フィリップス社、キヤノン社製の最新MRI、CTを106台保有。AIの活用等にも取り組んでいます。※X線撮影（一般撮影CR）、エコー、骨密度なども整備。,東京都中央区日本橋3-1-17 日本橋ヒロセビル2F,2001,,,https://www.medicalscanning.net/,理事長 高木 誠,,
2024-06-01,有限会社あおいメディカル,調剤薬局・ドラッグストア業界,1,■調剤■居宅介護支援■健康相談■薬局運営,埼玉県蓮田市緑町2-22-14,1988,50,33.0,https://aoim.co.jp/,代表取締役社長 並木 夢太,500万円,
2024-07-01,有限会社ヘルシーケアシステム,福祉・介護関連サービス,2,■事業内容： 当社は従来の整骨院・デイサービスの「医療・介護施設」のほかに併設して「重度障碍者グループホーム」の福祉施設を併設することによって、「医療・介護・福祉」の3本柱で地域社会への貢献に取り組んでおります。整骨院は2拠点あり、「木川整骨院」「健心堂整骨院」の2拠点です。どちらも10年以上続いており、地元に根付いております。,宮城県石巻市渡波町2-1-24,1996,13,,なし,,,
2024-07-01,株式会社さくら,福祉・介護関連サービス,1,■事業内容： 病院給食業務■主要受託先：福井県立病院、福井赤十字病院、北陸学園、福井新聞社、フクビ化学工業株式会社、宮崎病院■有資格者数：管理栄養士10名、栄養士23名、調理師48名,福井県福井市米松1-14-11,1986,140,42.0,http://www.sa-ku-ra.jp/sakura/,,70百万円,
2024-08-01,医療法人社団城東桐和会,病院・大学病院・クリニック,1,■事業内容：タムスグループは医療法人社団桐和会を筆頭に現在、東京都、千葉県、埼玉県に病院、クリニック、特別養護老人ホーム、グループホーム、デイケア、訪問医療・看護、病児保育室、老健、保育園、等を70拠点以上運営しております。人々の暮らしを守る重要な「柱」の一つとして、医療・リハビリ・介護ケアの充実を位置づけ、ご利用者（患者様）第一の地域に根ざした医療と介護ケアサービスの提供に真摯に取り組んでおります。タムスグループの介護施設では、入居者様が安心して日々の生活を送れるよう、介護の質を高めるとともに、自立支援ケアにも力を入れ、その方らしく生活できるよう支援しています。,東京都葛飾区新小岩2-1-1リーフコンフォート新小岩3F,1993,4000,,https://towakai.com/,,,
2024-08-01,株式会社ケアふくい,福祉・介護関連サービス,1,■事業内容：介護保険サービスの小規模多機能、グループホーム、ケアプランの作成、訪問介護・障害者総合支援サービスのホームヘルパー、相談支援事業・介護タクシー事業,福井県吉田郡永平寺町松岡薬師1-145,1966,60,40.0,"Failed to retrieve page, status code: 410",,10百万円,
2024-07-01,株式会社ひだまり工房,福祉・介護関連サービス,1,■事業内容： 福祉用具のレンタル・販売、住宅改修（手すりの取付等）※利用者さまに安心・安全に利用して頂けるよう、福祉用具は常に点検を行い、利用者さまの身体の状況等に応じて調整を行っています。,奈良県北葛城郡王寺町久度1-10-24,2007,9,46.0,なし,,3百万円,
2024-07-01,有限会社はらから,調剤薬局・ドラッグストア業界,2,■事業内容：・院外処方箋受付による保険調剤事業・在宅・介護施設における在宅訪問服薬指導・一般医薬品販売(OTC販売)・健康食品・漢方医薬品・漢方茶販売・認定栄養ケア・ステーション事業,大分県豊後大野市大野町田中2-10,1999,24,,https://maehara-dp.com/,,3百万円,
2024-06-01,株式会社ＪＰＲ,病院・大学病院・クリニック,1,■事業内容：同社は、Quality of Animal Life.「動物の生活の質の向上」をビジョンに掲げ、地域に根差したプリモ動物病院グループを展開しています。外部の専門家をアドバイザーに迎え、医療品質はもちろんのこと、企業品質の向上および育成のサポート体制を整えています。創業20年目を迎えて従業員数は150名を超え、全国トップクラスの規模へと成長してきています。,東京都町田市森野1-24-13ギャランフォトビル4F,2003,191,,https://www.jprpet.com/,,15百万円,
2024-07-01,ロッツ株式会社,調剤薬局・ドラッグストア業界,4,＜「被災地から地方の新モデルを生み出す」。被災地から日本全国、世界へ貢献できる会社を目指して全力で仕事に取り組む熱い会社です！＞■当社について：2011年7月「せっかく助かった命を健康にしていかなければ」という使命感と地域ニーズを考慮し、陸前高田市に仮設プレハブの薬局をオープンした当社。2012年5月に復興特区第一号として日本で初めて単独型訪問リハビリステーションを開設し、在宅医療介護体制を推進。2016年6月には陸前高田市の指定管理を受け「玉乃湯」という温泉施設を運営し、地域の皆様のコミュニティー形成や温浴療法、そして食事療法などにも取り組んでいます。,岩手県大船渡市猪川町字前田9-28,2011,43,38.0,http://lots.co.jp/,,7百万円,
2024-07-01,株式会社アーチ,その他医療関連,1,<企業概要>同社は神戸で歯科技工所として設立され、歯科医療と介護をつなぐ架け橋になりたいという思いから、2005年から介護事業を行う。また、歯科技工では、デジタル化の時代を迎えたことから、最新のCAD/CAMシステムを導入し、時代にあわせた設備投資を行っている。さらに、デジタル技工に特化した事業部を立ち上げ、ニーズに応じた体制強化を図っている。2017年には、訪問看護診療の事業を新たに始めた。<事業内容>■歯科技工事業・歯科技工物の製作、販売■介護事業・デイサービス「たかわの里」の運営・訪問介護リハビリステーション：ケアーズ三宮の運営,兵庫県神戸市中央区下山手通3-12-1トア山手プラザ6F,2004,40,,http://arch-gr.com/,,10百万円,
2024-08-01,株式会社メディカロイド,医療機器メーカー業界,7,■事業内容：医療用ロボットのマーケティング、開発、設計、製造、販売、アフターサービス,兵庫県神戸市中央区港島南町1-6-5国際医療開発センター6F,2013,164,,http://www.medicaroid.com/,,"5,100百万円",
2024-07-01,インターハート株式会社,調剤薬局・ドラッグストア業界,1,■事業内容：保険薬局関連／在宅医療関連／医薬品・医療機械＆器具・ヘルスケア・介護用品の販売／介護保険関連事業／医療コンサルタント／医療デザイン他/スポーツ・医療・健康増進などの各施設の経営,神奈川県藤沢市鵠沼石上3-3-3,1989,43,40.0,http://xn--u8jas9esjk69w1u2c.com/,,10百万円,
2024-08-01,特定非営利活動法人バウムカウンセリングルーム,福祉・介護関連サービス,3,■事業内容： 以下事業所の運営【愛知県】指定共同生活介護あさひ 指定共同生活介護くるみ 指定就労継続支援施設ネリネ 指定共同生活介護つくし 指定共同生活介護なつめ 指定就労継続支援施設まごころ工房 宿泊型自立訓練施設やまぶき 指定共同生活介護すみれ 指定共同生活介護ミモザ 指定共同生活介護ランプ 指定就労継続支援施設カトレア 指定就労継続支援施設ストック 指定共同生活介護かりん 指定就労継続支援施設あおい 指定共同生活介護あんず 指定共同生活介護かえで 【三重県】放課後等デイサービスデイジー 放課後等デイサービスパンジー 放課後等デイサービスポピー,愛知県名古屋市西区又穂町6-46-1DOLLハウス又穂1F,,160,31.8,http://baum16.com/,,3百万円,
2024-07-01,社会福祉法人芳龍福祉会,福祉・介護関連サービス,1,当法人は名古屋市から指定管理者として業務委託を受け、住居のない生活困窮者に対し、生活支援や就労支援等により、自立した社会生活が営めるよう支援することを中心とした施設運営をしています。名古屋市が住居のない生活困窮者に対する支援事業を開始してから２０年程。その事業の大半を当法人が指定管理者として指名されており、現在は５施設９事業を管理運営しています。,【名古屋市笹島寮】愛知県名古屋市中村区名駅南2-9-22【自立支援事業あつた】愛知県名古屋市熱田区神宮4-9-14,2000,95,,https://houryufukushikai.or.jp/,理事長 斎藤 信雄,2000万円,
2024-06-01,ＯＲＴＨＯＲＥＢＩＲＴＨ株式会社,バイオベンチャー業界,1,■事業内容： 医療機器・医療用消耗品等の研究開発・販売・製造及び修理医薬品・医薬部外品・工業薬品等の販売 その他,神奈川県横浜市都筑区茅ケ崎中央15-3レシェンテ茅ケ崎303,2011,14,46.0,https://orthorebirth.com/?lang=ja,,808百万円,
2024-08-01,株式会社桜十字,病院・大学病院・クリニック,3,■病院事業■高齢者住宅事業■予防医療事業■フィットネス事業■在宅サービス事業■歯科支援事業■医療メディア事業■人材事業■不妊治療事業■海外事業■ホテル事業■スポーツ事業,東京都港区虎ノ門4-3-1 城山トラストタワー3F,2005,9103,39.0,https://www.sakurajyuji.jp/,代表取締役 梶 正登,,
2024-07-01,株式会社ジノ,病院・大学病院・クリニック,1,医療法人社団元気会横浜病院の運営■診療科目／内科・精神科・リハビリテーション科■病床数326床・指定療養型医療施設：医療療養病棟220床、認知症治療病棟：50床、介護医療院：56床【医療法人社団元気会横浜病院HP】http://genkikaiyokohama.jp/,東京都港区赤坂6丁目4番17号 赤坂コーポ301,1982,,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010507247/: 'NoneType' object has no attribute 'get',代表取締役 北島 佳苗,,
2024-06-01,陽進堂ホールディングス株式会社,CRO,3,■事業内容：【高品質のジェネリック医薬品から、輸液・透析のエッセンシャルドラッグ、さらに、バイオ医薬品の開発へ。】当社は、長年にわたりジェネリック医薬品の製造と販売で、人々の健康と社会に貢献して参りました。また、原薬から製剤まで、一貫した研究開発・製造・販売までの確かな体制を整え、高品質で低価格のジェネリック医薬品を製造するメーカーとして、大きな信頼を得てきました。,富山県富山市婦中町萩島3697-8,1983,1140,,https://www.yoshindoholdings.jp/,,244百万円,
2024-07-01,医療法人社団青山会,病院・大学病院・クリニック,1,■事業内容： 【診療科】内科・消化器内科・糖尿病内科・ピロリ菌外来【産業医契約】さまざまな業種の企業様に対して産業保健活動を展開しております。【健康診断】 ・人間ドック・協会けんぽ・東振協の各種健康診断・特殊健康診断（有機溶剤・じん肺・石綿・振動工具等）・各種健康診断（一般健康診断・労災加入時健康診断・海外派遣・ 帰国時・生活習慣病予防健康診断等）・船橋市（各種がん検診・国保助成人間ドック・特定健康診査）・労災加入時健康診断,千葉県船橋市湊町2-8-9,1971,,,http://www.aoyamakai.or.jp/,,,
2024-07-01,株式会社アシスト,調剤薬局・ドラッグストア業界,1,■事業内容：調剤部門：竹田薬局（立田店）、調剤薬局メディカルサポートnakagawa、調剤薬局メディカルサポートmeieki、調剤薬局メディカルサポートaisai、 アシスト在宅おとどけ薬局TSUSHIMA人材部門：アシストブレイン,愛知県名古屋市中村区名駅南1-17-28,1997,32,38.0,https://www.assist-ms.com/,,6百万円,
2024-08-01,株式会社ビオネスト,福祉・介護関連サービス,8,"■事業内容： ビオネストグループは、全国に220以上の事業所、従業員2,000名の規模で、医療／介護／障がい福祉の3つのヘルスケア事業を融合し、地域住民の皆様に提供することをビジョンに掲げています。ここ数年で飛躍的に事業所数が増え、スピード感を持って大きく成長していることを実感できる環境です。また、事業計画に合わせて新しい人材の確保を進めており、採用手法や研修、評価制度について業務改善のアイデアを求めております。成長過程にあるからこそ、「会社のこれから」を自分達で創っていける、やりがいが感じられる環境です。",兵庫県神戸市中央区御幸通2-1-6ジェイルミナ三宮ビル10F,2008,2300,,https://www.bihonest.com/,,50百万円,
2024-07-01,有限会社光の里福祉協会,福祉・介護関連サービス,1,■事業内容： ・居宅介護支援事業、訪問介護、通所介護、高齢者共同生活住宅・放課後等デイサービス、児童発達支援■ビジョン： 光の里福祉協会は、高齢者、障がい児へのサービスを主軸にする福祉サービス事業所です。一人ひとりの希望や悩みごとに寄り添い、サービスをカタチにします。,大阪府枚方市香里ケ丘12-23-1-101,2005,36,,https://www.hikarinosato8787.com/,,3百万円,
2024-08-01,社会福祉法人春和会,福祉・介護関連サービス,4,■事業内容：タムスグループは医療法人社団桐和会を筆頭に現在、東京都、千葉県、埼玉県に病院、クリニック、特別養護老人ホーム、グループホーム、デイケア、訪問医療・看護、病児保育室、老健、保育園、等を80拠点以上運営しております。人々の暮らしを守る重要な「柱」の一つとして、医療・リハビリ・介護ケアの充実を位置づけ、ご利用者（患者様）第一の地域に根ざした医療と介護ケアサービスの提供に真摯に取り組んでおります。タムスグループの介護施設では、入居者様が安心して日々の生活を送れるよう、介護の質を高めるとともに、自立支援ケアにも力を入れ、その方らしく生活できるよう支援しています。,東京都江戸川区東小松川1-5-4,2012,700,,http://syunwakai.com/,,,
2024-08-01,プレミアムプラスジャパン株式会社,医療機器メーカー業界,1,歯科材料、医療機器、衛生材料、その他医療関連用品等の製造・販売,大阪府豊中市西緑丘1-1-31 5F,2009,38,,https://premiumplus.jp/,代表取締役 小川 海,1600万円,
2024-07-01,株式会社サリバテック,バイオベンチャー業界,1,■事業内容少量のだ液で、簡単に、痛みをともなうことなく、がんのリスクを評価する検査サービス「サリバチェッカー」を提供しています。 検査対象としているがん種は、膵がん、肺がん、大腸がん、乳がん、口腔がん、胃がんの6種類で、それぞれの部位ごとに現在がんに罹患しているリスクを評価しています。※乳がんは女性のみ 当社が注力しているのはリスク検査で高リスクと評価された方へのフォローアップ体制です。 高リスクと評価された方がその後の判断に困ることが無いよう、当社は全47都道府県に提携医療機関を設置しています。,山形県鶴岡市覚岸寺字水上246-2,2013,28,39.0,https://salivatech.co.jp/,,100百万円,
2024-07-01,ユウ薬品株式会社,調剤薬局・ドラッグストア業界,2,～“自分の一番大切な人を任せられる薬局づくり”を目指し香川県下で8店舗展開中～■事業内容：処方箋調剤を行う調剤薬局の経営,香川県綾歌郡宇多津町浜五番丁65,1995,77,38.0,http://www.jmedical.co.jp/,,12百万円,
2024-07-01,株式会社６５ホールディングス,福祉・介護関連サービス,1,■事業内容： 施設紹介事業／居宅介護支援事業／宅食事業／不動産事業／介護事業■特徴：当社は福岡県内に特化した地域密着型の老人ホームの紹介センターです。経営理念の【共有笑顔の創造】をモットーに、ご相談者に寄り添い、老人ホームをご提案し見学の送迎など入居までのサポートを行っています。 またグループ内には司法書士事務所・不動産会社がありますので、成年後見、自宅の売却など入居時のサポートもワンストップで行うことができます。,福岡県福岡市博多区中呉服町3-102F,2013,29,,https://65hd.jp,,30百万円,
2024-07-01,株式会社ポラリス,福祉・介護関連サービス,8,■事業内容：通所介護事業・居宅介護事業・研究開発事業・フランチャイズ事業 他,兵庫県宝塚市旭町3-9-1,2002,550,,http://www.polaris.care/,,50百万円,
2024-08-01,地方独立行政法人東金九十九里地域医療センター,病院・大学病院・クリニック,1,■基本理念：患者の権利を尊重し、救急医療・急性期医療を核とした地域中核病院として地域住民に信頼される高度で安全な医療を行います,千葉県東金市丘山台3-6-2,2010,,,"Failed to retrieve page, status code: 410",,,
2024-05-01,医療法人財団はるたか会,福祉・介護関連サービス,1,・在宅医療・訪問看護サービス事業・在宅医療連携拠点事業◎日本在宅医療連合学会専門医 研修プログラム・研修施設◎日本緩和医療学会 認定施設,東京都台東区東上野4-27-3 上野トーセイビル9階,2013,230,,https://harutaka-aozora.jp/,理事長 前田 浩利,2810万円,
2024-06-01,エンビスタジャパン株式会社,医療機器メーカー業界,3,エンビスタジャパン株式会社（旧社名：カボデンタルシステムズ株式会社）は、歯科医療のグローバルトップブランドであるDEXIS（デキシス）、Kerr（カー）、Ormco（オームコ）の「「品質でで新的な歯科製品を日本のお客さまに安全かつ快適にご利用いただき、患者さまへのよりよい診療に貢献すること」をミッションとしています。,東京都品川区北品川4-7-35御殿山トラストタワー13F,1983,71,46.6,http://www.envistaco.jp/,,90百万円,
2024-08-01,株式会社ＺＥＮウェルネス,福祉・介護関連サービス,14,■事業内容： 同社は2013年に設立し、首都圏において有料老人ホーム事業を展開しております。現在は11ヶ所の「アシステッドリビング」を運営しており、リゾート型の施設コンセプトが評価され、入居率は90%以上を維持しています。,東京都千代田区五番町10,2013,390,,"Failed to retrieve page, status code: 410",,25百万円,
2024-06-01,株式会社ＬｉｋｅＬａｂ,福祉・介護関連サービス,1,■事業内容： ・児童発達支援…久留米2カ所・小郡・基山・放課後等デイサービス…久留米2カ所・小郡・鳥栖・基山・日中一時支援・保育所等訪問支援・就労継続支援B型…久留米2カ所・就労継続支援A型・特定相談支援・障害児相談支援・飲食業・アート展示■ビジョン： ikeLabは、幼児期から成人期まで切れ目のない支援を行うことで、それぞれの人生に寄り添い、受け止める！そんな事業所を目指し、事業展開を行っております。「ちょっと困った」「どうしたらいいのかな」という時に、そっと手を差し伸べることのできるそして、一緒に一歩一歩成長させて頂ける存在を目指しております,福岡県久留米市通東町5-162F,2013,75,,http://www.likelab.jp,,3百万円,
2024-06-01,株式会社セキノサイトネット,SMO,2,株式会社セキノサイトネットは、1954年に開業した関野病院グループの一員として2004年6月、東京都豊島区池袋に設立されたSMO(Site Management Organization：治験施設支援機関)です。1989年設立の関野研究所時代から蓄積された治験（臨床試験）の豊富な経験と情報をグループ全体の総合力として活用し、治験を通じてより明るい未来を創出し、社会全体の幸福を促進することを目的に医療の発展に貢献する企業です。治験サポート業務（SMO）を主業とし、フェーズⅡ、Ⅲの領域をメインとして事業展開しています。■事業内容： 治験実施施設支援業務セントラルIRB支援業務,東京都豊島区池袋2-53-5,2004,20,,https://sekino-site.net/,,20百万円,
2024-06-01,株式会社マクロジェン・ジャパン,バイオベンチャー業界,2,■事業内容・DNA 塩基配列の解析・次世代シーケンス解析・遺伝子改変マウスの作製,東京都江東区青海2-4-32タイム24ビル16F,2007,59,,https://www.macrogen-japan.co.jp/company.php,,71百万円,
2024-08-01,株式会社シノケンウェルネス,福祉・介護関連サービス,4,■事業詳細：・超高齢化社会への突入によって、日本では有料老人ホームやグループホーム等の要介護の方を対象にした高齢者向け住宅が不足しています。同社はこのニーズを受けて、グループ各社の力を結集し、介護や医療サービス事業者と連携しながら「高齢者が高品質で安心して生活できる住宅」として、「高齢者安心ケア付き賃貸住宅」「サービス付き高齢者向け住宅」「デイサービス」「認知症対応型グループホーム」を提供しています。,東京都港区浜松町2-3-1日本生命浜松町クレアタワー,2012,20,33.0,http://www.shinoken-kaigo.com/,,80百万円,
2024-06-01,ＳＤＰジャパン株式会社,医療コンサルティング,1,■企業概要：＜コンセプト＞「単科手術専門クリニック・病院の全国展開サポート」,東京都渋谷区道玄坂1-10-8渋谷道玄坂東急ビル6F,2014,50,,http://www.sdp-japan.com/,,100百万円,
2024-08-01,株式会社レスメッド,医療コンサルティング,2,■医業経営コンサルティング事業■病院・医院のＭ＆Ａ及び事業承継支援事業■医療法人に対する経営対策、持分撤廃などのアドバイザリー業務の提供■病院・医院の財務戦略、事業戦略の支援事業■医師紹介・医師転職支援事業（有料職業紹介許可番号 13-ユ-306195）,東京都渋谷区渋谷2-11-6 ラウンドクロス渋谷7F,2011,,,https://res-med.jp/,代表取締役 井上 真,"5,000万円",
2024-07-01,株式会社日本薬業,医薬品メーカー業界,3,■事業内容：創業以来、「お客様に喜びと夢を提供する健康のパートナー」として、「一人でも多くのお客様に元気で健康的な人生を送っていただく」ことを基本理念に掲げ、医薬品、医薬部外品、健康康品等の通信販売業界のリーディングカンパニーとして、紆余曲折しながら進化を遂げております。,東京都中央区日本橋本石町4-2-16Daiwa日本橋本石町ビル7F,2016,40,40.0,http://japan-pharma.com/,,20百万円,
2024-07-01,アース・キッズ株式会社,福祉・介護関連サービス,1,児童福祉法に基づく児童発達支援、放課後等デイサービス,東京都渋谷区千駄ヶ谷3-51-6 原宿MOA 2F,2000,125,30.0,https://earth-kids.com/,代表取締役 高見 裕一,5000万円,
2024-06-01,特定非営利活動法人サポートめぐみ,福祉・介護関連サービス,2,■事業内容：当法人は、横浜市戸塚区を中心とした訪問介護、居宅介護支援事業及び介護タクシー事業を行っています。・訪問介護…ご自宅にホームヘルパーがお伺いし、介護計画に沿って入浴やトイレなどの介助を行う「身体介護」、調理や買い物など日常生活を行う「生活援助」というサービスをご提供しています。・居宅介護・障がい者支援・福祉有償運送サービス（介護タクシー、福祉タクシー）…自家用有償旅客運送者として国土交通省神奈川運輸支局に登録し、「関神福第１８５号」の登録番号を受け、横浜市を中心に福祉有償運送サービス（介護タクシー、福祉タクシー）を行っております。 等,神奈川県横浜市戸塚区川上町464-29,2009,40,,http://www.supportmegumi.org/indexb.html,,,
2024-08-01,株式会社サイキョウ・ファーマ,医薬品メーカー業界,3,■事業内容： 医薬品、医薬部外品、化粧品、医療機器の製造販売,埼玉県さいたま市大宮区桜木町4-56-1,2011,,,https://saikyo-pharma.co.jp/,,100百万円,
2024-07-01,ＫＡＥＩ株式会社,医薬品卸,2,■事業内容：◇医薬品事業 医療用医薬品、一般用医薬品の販売・ 体外診断用医薬品の製造及び販売・ 体外診断用医薬品の受託製造（OEM）・ 体外診断用医薬品認証申請手続きの支援◇医療機器事業医療機器の製造及び販売・ 医療機器の受託製造（OEM）・ 高度管理医療機器等販売業・ 医療機器認証申請手続きの支援,大阪府大阪市中央区南船場2-4-8長堀プラザビル,2013,26,30.0,http://www.kaei.co.jp/,,80百万円,
2024-07-01,株式会社大和桜ケ丘薬局,調剤薬局・ドラッグストア業界,2,■事業内容： 薬局の経営（処方せん調剤、医薬品販売等）。大和桜ヶ丘薬局はシーエスグループの一員です。シーエスグループは、より地元に密着した地域医療の発展を目指し、一都四県に積極的に店舗展開をしています。,神奈川県大和市福田1-10-3,1993,122,,http://www.cs-gp.co.jp,,3百万円,
2024-07-01,株式会社メディカルフロンティア,医療コンサルティング,6,◆メディカルフロンティアとは？自由診療を中心とした医療経営コンサルティング事業を展開しています。主要な取引先の大手美容クリニックグループに対しては、広告・法務・経理・人材採用・育成等、総合的にコンサルティング支援を行っております。,東京都港区西新橋3-25-33フロンティア御成門4F,2015,834,,"Failed to retrieve page, status code: 410",,48百万円,
