更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-07-01,トライベクトル株式会社,その他,2,■事業内容： 翻訳・通訳・ローカライズサービス・取扱言語：約50言語・ドキュメント：取扱説明書、Web、動画、SNS、契約書、カタログなど企業で発生するドキュメント全般・分野：IT、アート、バイオ、ビジネス、環境エネルギー、エレクトロニクス、医療、エンタメ、金融、法律その他：エグゼクティブ英会話・動画制作、字幕翻訳・Web制作,東京都渋谷区円山町25-4加藤ビル2F,2005,,8,3百万円,,https://www.trivector.co.jp/,
2024-05-01,有限会社ライダースクラブ,その他,2,■事業内容： 【Kawasaki正規取扱店・DUCATI正規ディーラー】オートバイ専門指定整備工場 取得,千葉県千葉市若葉区桜木6-23-3,1987,,,10百万円,27.0,https://riders-club.jp/,
2024-08-01,株式会社松興,その他,2,■事業内容：・解体関係…家屋解体、建物解体（木造、鉄骨造、鉄筋コンクリート造、ビル、店舗、工場、門塀など）、立木伐採、伐根、重機解体、手解体、仮設工事、土木工事、アスベスト分析、除去・産業廃棄物収集…廃プラスチック類、紙くず、木くず、繊維くず、ゴムくず、金属くず、ガラスくず、陶磁器くず、コンクリートの破片等（がれき類）、廃油など,長野県長野市大字富竹965-6,2006,,11,10百万円,34.0,http://www.matsukou2008.co.jp/,
2024-07-01,興和ロジスティクス株式会社,その他,1,■事業内容： 一般用医薬品の小売直販物流と医療用医薬品、ジェネリック医薬品、高度医療機器の販売物流を中心に展開しております。・事業内容 物流センター管理運営業務・ロジスティクス・ソリューションの提供,東京都中央区日本橋本町3-4-10,2012,,,10百万円,,https://www.kowa-logi.co.jp/company/index.htm,
2024-08-01,株式会社リヴァ,その他,4,■事業内容について：・うつ病の方への再発予防訓練、職場復帰・再就職支援（リヴァトレ）・企業向け休職者支援（リヴァBiz）・福祉事業者向け業務効率化支援（LACICRA）・宿泊型転地療養サービス（ムラカラ）・働いている双極性障害の方向け支援（双極パーソナル）,東京都港区西新橋2-35-2ハビウル西新橋4F,2010,,58,14百万円,,http://liva.co.jp/,
2024-08-01,株式会社Ｇｒｅｅｎ　Ｗｏｒｌｄ　Ｇｒｏｕｐロジスティクス,その他,1,国際貨物利用運送事業CIS向け国際複合一貫輸送中国、ロシア、モンゴル向け複合一貫輸送建機輸送日本向け輸送三カ国間輸送,東京都港区西新橋3-13-7 VORT虎ノ門south 8F,2011,,8,1000万円,,http://www.gwg-logx.co.jp/,代表取締役 北島 清一
2024-08-01,モノ・ループ株式会社,その他,60,■企業概要：買取専門店「モノ・ループ」とは東海エリアを中心に店舗を展開しています。有名芸能人を起用したTVCMも放映しています。約3兆円といわれる買取市場の拡大に合わせ、設立以来、順調に成長中です。,愛知県名古屋市中村区名駅3-22-8大東海ビル3F,2012,,334,48百万円,,https://monoloop.jp/recruit/,
2024-07-01,株式会社エルザクライス,その他,1,■事業内容：当社は兵庫県姫路市を中心に7つの動物病院を運営しています。犬・猫・エキゾチックアニマル等の小動物診察をメインに、動物園動物の診療（獣医師のみ）や、動物保護NPOの運営受託等も行っております。,兵庫県姫路市下手野1-110-1,1979,,125,10百万円,31.0,http://www.elsa-hp.com/,
2024-08-01,ZuttoRide株式会社,その他,7,“For All Riders.”～全てのライダーのために～■事業内容二輪車に特化したロードサービス・盗難保険・延長保証会員の企画・運営をしています。二輪車専門であることが最大の特徴であり、小さいながらも日本国内には大きなライバル会社のいないニッチトップ企業です。1997年にバイクロードサービス会社として創業し、現在では全国で25万人のバイク会員を保有し、ホンダ・ヤマハ・スズキ各社の会員サービスを受託しております。,愛知県名古屋市中区千代田2-6-16,2011,,100,98百万円,35.0,https://zuttoride.co.jp/,
2024-06-01,エコライフ２１株式会社,その他,1,■事業内容： セルローズファイバーによる断熱工事、無農薬による木造住宅防腐防蟻（駆除）,熊本県熊本市北区打越町40-21,2013,,7,3百万円,31.0,https://ecolife21.com/,
2024-08-01,株式会社出口板金工業,その他,1,■事業内容：建築物の内装・外装での建築板金を用いた施工・管理を行っております。,大阪府泉南郡熊取町青葉台2-1-6-301,,,12,500百万円,,なし,
2024-07-01,株式会社パックスタイル,その他,3,■事業内容：創業明治20年、食品包装専門商社である株式会社折兼のグループ会社のプライベートブランド(PB)商品を中心としたファブレスメーカーとして、食品包装容器、資材、衛生関連商品、環境対応品、厨房用品などの企画・開発・調達を行っています。,愛知県名古屋市西区菊井2-6-16,2012,,,90百万円,35.0,http://packstyle.co.jp/,
2024-07-01,株式会社クローバーエイト,その他,3,■事業概要：・一般手術室・無菌手術室の設計および施工、性能評価試験・無菌治療室の設計および施工、性能評価試験・病理解剖室、切出室の設計および施工・病院諸室の陽圧、陰圧化、空気清浄化工事・発熱外来、トリアージのコンテナハウス施工・開業医院の内装、改修工事、高度医療機器等販売＜指定居宅支援事業所ワンズタイム＞・サービス計画書作成(ケアプラン)・介護度認定調査・住宅改修※介護保険対象・フットケアの提供,神奈川県相模原市緑区西橋本1-21-24,2000,,16,60百万円,47.0,http://www.clover8.com/,
2024-07-01,株式会社ユニバーサルハウス,その他,1,■事業内容：・建設現場で使用されるユニットハウスの設計・製造を行う会社です。少数精鋭で一人一人がやりがいを持って仕事を行うことができます。株式会社共成レンテムを含むアクティオグループの会社です。,北海道帯広市西二十一条南1-5-9,,,7,10百万円,,なし,
2024-07-01,一般社団法人日本血液製剤機構,特殊法人・財団法人・その他団体・連合会,4,医薬品の製造・販売＜主な製剤＞■人免疫グロブリン製剤■抗HBs人免疫グロブリン製剤■人血清アルブミン製剤■人アンチトロンビンIII製剤■血液凝固第VIII因子製剤■人ハプトグロビン製剤,東京都港区芝浦三丁目1番1号田町ステーションタワーN15階TEL 03-6435-6500,2012,,1271,,,https://www.jbpo.or.jp/,理事長 中西 英夫
