更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,事業内容,上場市場名
2024-08-01,Ｍｏｔｔ　ＭａｃＤｏｎａｌｄ　Ｊａｐａｎ株式会社,その他専門コンサルティング,求人なし,東京都中央区日本橋本町1-9-13日本橋本町1丁目ビル4Ｆ,2009,代表取締役 菊池 達人,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,株式会社ＥＮＴＯＥＮＴＯ,その他専門コンサルティング,求人なし,東京都昭島市松原町1-18-11ダイヤヒルズ 2Ｆ,1993,代表取締役 松本 順市,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社ＤＩＳＴＡＮＴ　ＤＲＵＭＳ,経営・戦略コンサルティング,求人なし,東京都渋谷区恵比寿4-20-318Ｆ,2010,代表取締役 永田 大輔,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社Ｌａｔｅｒａｌ　Ｍａｒｋｅｔｉｎｇ　Ｊａｐａｎ,その他専門コンサルティング,求人なし,東京都新宿区新宿2-11-7第33宮廷ビル 5Ｆ,2011,代表取締役 新井 克也,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,2 百万円,,
2024-08-01,Ｔｈｉｎｋ　ａ　Ｐｈａｓｅ株式会社,その他専門コンサルティング,求人なし,東京都大田区田園調布2-22-2田園プラネット 202,2013,代表取締役 石川 一将,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,5 百万円,,
2024-08-01,Ｙ’ｓＩ株式会社,経営・戦略コンサルティング,無,東京都中央区銀座7-17-18ジュエル銀座 405,2015,代表取締役 伊沢 由加里,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,株式会社メディカルインフォメーションジャパン,その他専門コンサルティング,求人なし,東京都千代田区神田錦町3-21ちよだプラットフォームスクウェア,2013,代表取締役 森田 敏宏,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,株式会社アイ・エス・シー２１,総合コンサルティング,求人なし,東京都千代田区内神田3-22-4花喜久ビル,1998,代表取締役社長 大槻 喜也,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社Ｈｕｂ　Ｔｏｋｙｏ,経営・戦略コンサルティング,求人なし,東京都目黒区目黒2-11-3印刷工場 1Ｆ,2012,代表取締役 槌屋 詩野,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,17 百万円,,
2024-08-01,アルティテュード株式会社,その他専門コンサルティング,求人なし,東京都世田谷区三軒茶屋2-8-11カーサＭＬ301,2014,代表取締役 今岡 裕輔,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,株式会社リサ投資顧問,その他専門コンサルティング,求人なし,東京都港区港南2-15-3品川インターシティＣ棟 19Ｆ,2003,代表取締役 和井田 卓,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,100 百万円,,
2024-08-01,株式会社Ｎｅｗ　Ｇｅｎｅｒａｔｉｏｎ＆Ｃｏｍｐａｎｙ,経営・戦略コンサルティング,求人なし,東京都新宿区西新宿1-20-3西新宿高木ビル 7Ｆ,2012,代表取締役 片山 雅晴,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,2 百万円,,
2024-08-01,ベクターリスクマネジメント株式会社,リスクコンサルティング,求人なし,東京都港区虎ノ門5-11-2オランダヒルズ森タワー 14Ｆ,2004,代表取締役 岡本 健司,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社アトムソリューションズ,経営・戦略コンサルティング,求人なし,東京都江東区永代2-31-16盛美堂ビル 5Ｆ,2010,代表取締役 林 裕一,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,95 百万円,,
2024-08-01,株式会社Ｍｅｄｉａ　Ｔｈｅａｔｅｒ,その他専門コンサルティング,求人なし,東京都文京区本郷3-21-8ケイアイビル 6Ｆ,2008,代表取締役 今木智隆,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,5 百万円,,
2024-08-01,Ｓｏｐｅｘａ　Ｊａｐｏｎ株式会社,経営・戦略コンサルティング,求人なし,東京都渋谷区恵比寿3-12-8東京塗料会館 3Ｆ、4Ｆ,2007,代表取締役 ピエール・フランック・モレー,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,15 百万円,,
2024-08-01,株式会社Ｐｒｏｆｉｔ　Ｄｅｓｉｇｎ,その他専門コンサルティング,求人なし,東京都渋谷区恵比寿1-8-6共同ビル 6Ｆ,2010,代表取締役 田口 大,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,6 百万円,,
2024-08-01,株式会社匠Ｂｕｓｉｎｅｓｓ　Ｐｌａｃｅ,経営・戦略コンサルティング,求人なし,東京都港区虎ノ門4-3-1城山トラストタワー 27Ｆ,2009,代表取締役 田中 豊久,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,21 百万円,,
2024-08-01,株式会社タカハシアンドパートナーズ,経営・戦略コンサルティング,求人なし,東京都中央区銀座1-3-3Ｇ1ビル7Ｆ1173,2002,代表取締役 高橋 剛,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,株式会社トラスティルグループ,特許事務所・弁理士事務所,求人なし,東京都中央区京橋2-2-1京橋エドグランサウス 4Ｆ,2006,代表取締役 小倉 純一,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社ＥＳＣＣＡ,その他専門コンサルティング,求人なし,宮城県本吉郡南三陸町志津川字御前下25,2012,代表取締役 山内 亮太,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,株式会社Ｐｅａｒｓｏｎ　Ｅｎｔｅｒｐｒｉｓｅｓ,その他専門コンサルティング,求人なし,東京都千代田区神田錦町3-19-4神田錦町ＮＲビル,2012,代表取締役 ピアソン・ギャリー・ニール・イアン,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,5 百万円,,
2024-08-01,株式会社ＴＡＫＥ　ＦＲＯＮＴＩＥＲ,組織人事コンサルティング,無,東京都新宿区原町1-18松永ビル 3Ｆ,2008,代表取締役 佐野 順平,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,30 百万円,,
2024-08-01,株式会社ＳＵＰＥＲ　ＭＡＲＫＩＴ,マーケティング・リサーチ,求人なし,東京都中央区日本橋堀留町1-5-7ユービル 9Ｆ,1986,代表取締役 秋山 真哉,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,18 百万円,,
2024-08-01,株式会社Ｔｉｅｅｓ　Ｐｌａｎ,経営・戦略コンサルティング,求人なし,東京都渋谷区代々木1-25-5,2009,代表取締役 内村 章浩,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,株式会社ＬＡ　ＤＩＴＴＡ,マーケティング・リサーチ,求人なし,東京都港区赤坂9-1-7545室,2006,代表取締役 小里 博栄,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,20 百万円,,
2024-08-01,酒井国際管理株式会社,特許事務所・弁理士事務所,求人なし,東京都千代田区霞が関3-8-1,2013,代表取締役 酒井 宏明,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,株式会社ヴァンガードスミス,経営・戦略コンサルティング,無,東京都港区西新橋1-1-1日比谷フォートタワー10Ｆ,2015,代表取締役 田中 慶太,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,104 百万円,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 コンサルティング事業トラブル相談解決支援事業「Pサポ」「mamorocca(マモロッカ）」リノベーション事業「スグリノ」「カグリノ」一棟貸し貸別荘の運営「スミスのいえ」別荘タイムシェアポータルサイトの運営「Tovillla(トビラ)」【グループ会社】・株式会社レジデンシャルペイメント・株式会社ウォルクラフト・株式会社SGO 2021年11月doda掲載求人より引用,
2024-08-01,マーケットカラー株式会社,経営・戦略コンサルティング,求人なし,東京都千代田区神田須田町1-1-15Ｆ,2015,代表取締役 北村 宗太,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,株式会社Ｏｄｄ－Ｅ　Ｊａｐａｎ,その他専門コンサルティング,求人なし,東京都中央区東日本橋3-9-15,2009,代表取締役 江端 一将,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,株式会社グローバルジャパンコンサルティング,その他専門コンサルティング,求人なし,東京都中央区銀座2-14-1森山ビル 3Ｆ,2011,代表取締役 熊本 浩明,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,12 百万円,,
2024-08-01,テイスター株式会社,経営・戦略コンサルティング,求人なし,東京都調布市小島町3-44-1712,2015,代表取締役 檀上 四門,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,ａ　ｔｏ　ｊｏｙ株式会社,経営・戦略コンサルティング,求人なし,東京都渋谷区恵比寿西1-14-5,2010,代表取締役 荒木 孝之,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,8 百万円,,
2024-08-01,ＭＡＫＥ　ＳＨＩＦＴ株式会社,その他専門コンサルティング,求人なし,東京都港区西新橋2-21-6テレテクノ201,2013,代表取締役 野村 郁恵,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,4 百万円,,
2024-08-01,株式会社ＩＮＮＯＶＡＴＩＯＮ　ＬＥＡＤＥＲＳ,その他専門コンサルティング,求人なし,東京都港区西新橋1-16-4ノアックスビル 7Ｆ,2013,代表取締役 村田 理恵,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,株式会社ユニバーサルデザイン総合研究所,その他専門コンサルティング,求人なし,東京都港区港南1-9-36,1991,代表取締役 髙橋 義則,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,30 百万円,,
2024-08-01,株式会社ＡＳＡ　ＧＬＯＢＡＬ,会計事務所,求人なし,東京都港区虎ノ門2-10-4オークラプレステージタワー 10Ｆ,2008,代表取締役 松澤 和浩,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,30 百万円,,
2024-08-01,株式会社ＦＩＤＩＡＳ,総合コンサルティング,求人なし,東京都新宿区西新宿6-12-7ストーク新宿 Ｃ25,1997,代表取締役 三枝 正義,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,Ｏｇａｔａ　Ｉｎｖｅｓｔｍｅｎｔ株式会社,経営・戦略コンサルティング,求人なし,東京都千代田区神田平河町1第3東ビル,2004,代表取締役 緒方 隆朗,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,Ｒ’ｓ株式会社,その他専門コンサルティング,求人なし,東京都新宿区西新宿7-5-6,2008,代表取締役 橋本 玲,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,9 百万円,,
2024-08-01,株式会社Ｇｒｅｅｎ　Ｇａｔｅ,その他専門コンサルティング,求人なし,東京都練馬区練馬1-22-1ＨＯＡ練馬,2013,代表取締役 佐竹 勝尚,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,株式会社ＴＡＸ　ＬＡＢＯ,財務・会計アドバイザリー（FAS）,求人なし,東京都荒川区西日暮里6-10-14,2013,代表取締役 高山 政信,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,ジントル株式会社,その他専門コンサルティング,無,東京都新宿区西新宿8-16-1新宿グランドプラザ907,2009,代表取締役 藤田 陸人,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,20 百万円,,
2024-08-01,ＧＲ　Ｊａｐａｎ株式会社,その他専門コンサルティング,求人なし,東京都千代田区永田町2-9-6十全ビル 101,2004,代表取締役 エドバーグ・ヤコブ・グッナー,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社アーネスト・アソシエーション,マーケティング・リサーチ,求人なし,東京都渋谷区渋谷2-9-8,2003,代表取締役 中川 浩輔,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,90 百万円,,
2024-08-01,ＫＭＣｇｒｏｕｐ株式会社,経営・戦略コンサルティング,求人なし,東京都港区虎ノ門4-3-1城山トラストタワー 29Ｆ,2014,代表取締役 富樫 嗣,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,59 百万円,,
2024-08-01,株式会社ＯｎＡｓｓｅｔ　Ｉｎｔｅｌｌｉｇｅｎｃｅ,その他専門コンサルティング,求人なし,東京都渋谷区宇田川町37-10麻仁ビル渋谷 302,2012,代表取締役 小林 充,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,日本Ｇｖｅｘ株式会社,経営・戦略コンサルティング,求人なし,東京都港区海岸1-1-1,2004,代表取締役 細川 修平,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,3 百万円,,
2024-08-01,株式会社ＲＩＧＨＴ　ＣＬＩＣＫ,その他専門コンサルティング,求人なし,東京都江東区有明3-7-26有明フロンティアビルＢ棟 9Ｆ,2012,代表取締役 チャウハンウメンドラシン,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,9 百万円,,
2024-08-01,Ａｐｅｘ　Ｂｕｓｉｎｅｓｓ　Ｓｏｌｕｔｉｏｎｓ株式会社,経営・戦略コンサルティング,求人なし,東京都千代田区大手町2-1-1大手町野村ビル 16Ｆ,1995,代表取締役 阪口 雅則,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,株式会社地盤審査補償事業,その他専門コンサルティング,求人なし,東京都千代田区九段北1-15-2九段坂パークビル 4Ｆ,2010,代表取締役 大串 豊,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,ＧＣＳ　Ｈｏｌｄｉｎｇｓ株式会社,経営・戦略コンサルティング,求人なし,東京都港区赤坂5-5-8,2015,代表取締役 アレム・スンボ・ユスフ,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,ＢＥＡＳ株式会社,その他専門コンサルティング,求人なし,東京都新宿区新小川町6-39,2013,代表取締役 鈴木 秀明,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1 百万円,,
2024-08-01,株式会社Ｔｒａｎｓａｍ　Ｍａｎａｇｅｍｅｎｔ　Ｓｙｓｔｅｍ,経営・戦略コンサルティング,求人なし,東京都港区北青山1-5-15,2012,代表取締役 細島 誠彦,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,,
2024-08-01,株式会社ＪＡＣ,その他専門コンサルティング,求人なし,東京都中央区湊1-6-11,2012,代表取締役 小泉 尚之,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,10 百万円,,
2024-08-01,日本コンサルタントシステム株式会社,その他専門コンサルティング,求人なし,東京都渋谷区道玄坂1-12-1渋谷マークシティーウエスト 22Ｆ,1997,代表取締役 前田 礼篤,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,23 百万円,,
2024-08-01,Ｔｈｅ　ｃｏｍｒａｄｅｓ株式会社,財務・会計アドバイザリー（FAS）,求人なし,東京都中央区日本橋小網町17-17,2003,代表取締役 佐々木 匡治,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,45 百万円,,
2024-08-01,ネクストレベルジャパン株式会社,マーケティング・リサーチ,求人なし,東京都港区南青山5-12-11エラン南青山202,2010,代表取締役社長 ザドナイスキー・ステファン,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,6 百万円,,
2024-08-01,株式会社ブリリアントソリューション,経営・戦略コンサルティング,求人なし,東京都港区赤坂8-4-14,2013,代表取締役 黒田 敦史,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,20 百万円,,
2024-08-01,株式会社Ｌｏｃｏホールディングス,経営・戦略コンサルティング,求人なし,東京都江戸川区西小岩1-19-33,2013,代表取締役 黒澤 大,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,7 百万円,,
