更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者,お問い合わせ先URL,代表電話番号
2024-07-01,学校法人拓殖大学,公社・官公庁・学校・研究施設,1,■高等教育機関（大学・短期大学・高等学校の運営）・拓殖大学・拓殖大学北海道短期大学・拓殖大学第一高等学校,＜文京キャンパス＞〒112-8585東京都文京区小日向3-4-14＜八王子国際キャンパス＞〒193-0985東京都八王子市館町815-1,1900,236,,,https://www.takushoku-u.ac.jp/,,理事長 岡戸 巧,https://www.takushoku-u.ac.jp/contact.html,"['042-661-0480', '042-665-1476', '3947-7159', '03-3947-2270', '03-3947-7205', '042-665-1293']"
2024-06-01,国立研究開発法人国立がん研究センター,公社・官公庁・学校・研究施設,2,昭和37年に、我が国のがんの医療・研究の拠点となる国立機関として誕生した国立がん研究センター。開設以来、がんの診療や研究に多大な成果を上げ、広く世界にも知られています。研究所が目指すのは、病院および行政との密接な連携のもと、がん対策を推進すること。そして我が国におけるがん研究を推進する中核施設としての機能を果たすこと。この2つを主軸に活動しています。,【築地キャンパス】東京都中央区築地5-1-1,1962,,,,https://www.ncc.go.jp/jp/index.html,,理事長 中釜 斉,https://www.ncc.go.jp/jp/information/contact/index.html,"['03-3542-2511', '03-3547-5067']"
2024-07-01,国立研究開発法人産業技術総合研究所,公社・官公庁・学校・研究施設,2,"■役割国内最大級の公的研究機関として、産業化を見据えた応用的な研究と、成果を社会や企業に活用してもらう橋渡しにより、社会課題解決と産業競争力強化に貢献する■体制8つの研究領域等、全国13カ所に展開2,000名以上の研究者が、国家戦略等に基づき、ナショナルイノベーションシステムの中核的・先駆的立場で研究開発を行う■グローバル展開世界各国の主要研究機関と包括研究協力覚書（MOU）を締結 等",【東京本部】〒100-8921東京都千代田区霞が関1-3-1【つくば本部】〒305-8560茨城県つくば市梅園1-1-1 つくば本部・情報技術共同研究棟,2001,5818,"2,779億9,141万円",,https://www.aist.go.jp/,,理事長 石村 和彦,https://www.aist.go.jp/aist_j/inquiry/index.html,['029-861-5022']
2024-06-01,国立研究開発法人物質・材料研究機構,公社・官公庁・学校・研究施設,2,■事業内容： ・物質・材料科学技術に関する基礎研究および基盤的研究開発,茨城県つくば市千現1-2-1,2001,1566,"73,500百万円",,https://www.nims.go.jp/,,,https://www.nims.go.jp/contact/index.html,"['029-859-2000', '029-860-4610', '029-859-2053']"
2024-07-01,学校法人博多学園,公社・官公庁・学校・研究施設,1,■事業内容： 幼児教育（博多学園幼稚園グループ７園）・高校教育（博多高等学校）・専門教育（博多メディカル専門学校）の運営,福岡県福岡市東区水谷1-21-1,1941,234,,,"Failed to retrieve page, status code: 410",,,"Error accessing Failed to retrieve page, status code: 410: No connection adapters were found for 'Failed to retrieve page, status code: 410'","['0926810331', '0926810301', '0926725080', '092-681-0301', '092-681-0331']"
2024-07-01,学校法人都築育英学園,公社・官公庁・学校・研究施設,1,■本学校法人は付属幼稚園を始め、小学校、中学校、高等学校、大学等、様々な学校を経営・運営しております。世界の第一線で活躍できるグローバル人材の育成に力を入れており、積極的な取り組みの一つとして、学生が能動的に学ぶ「きっかけ」づくりを行っております。本学校法人が運営する大学の一つでは、インキュベーション（起業支援）施設を運営しております。ここからは多くのイノベーティブな企業が巣立って行きました。これらのインキュベーションに17年間携わった実績をもって、今後は海外に進出したいという日本のベンチャー企業と学生とのコラボレーションも考えています。,福岡県太宰府市五条3-11-25,1996,400,10百万円,,なし,,,Error accessing なし: Invalid URL 'なし': No scheme supplied. Perhaps you meant https://なし?,"['092-922-5131', '078-265-6111', '092-922-7231']"
2024-05-01,学校法人九州国際学園,公社・官公庁・学校・研究施設,1,■九州国際情報ビジネス専門学校について：本校は創立34年目を迎える専門学校です。開校以来、卒業後実社会の要望に応えるべく知識・技能の習得、資格を取得した「スペシャリスト」育成、社会人として社会常識・基本マナーを備えた明るく健康で建設的思考を持った「人間性豊かな人材」育成を教育方針に掲げ、バランスの取れた人材育成を目指しております。学科は4学科7コースから構成されております。,佐賀県佐賀市神野東1-9-32,1987,24,480百万円,,https://cosmet.ac.jp/,,,https://cosmet.ac.jp/contact/index.html,"['0952-50-7291', '0952-31-5931', '0952-31-5943']"
2024-05-01,学校法人名古屋電気学園,公社・官公庁・学校・研究施設,1,■事業内容：私立学校（大学・高等学校・中学校・専門学校）の経営,愛知県名古屋市千種区若水3-2-12,1912,1172,,,https://www.nagoyadenki.jp/,,,https://www.ait.ac.jp/contact/#headline-1421475659,"['052-721-0201', '052-721-0311']"
2024-07-01,学校法人渕野学園,公社・官公庁・学校・研究施設,2,幼保連携型認定こども園 富士見が丘幼稚園の運営を行っています。■幼稚園・保育園の特徴：＜安心・安全な幼稚園を目指します＞子どもは環境（人的・物的）の中で育っていきます。『目に見える環境』は整えやすく理解されやすいものですが、実は子どもたちにとって最も重要なことは『目に見えない環境』の充実です。,大分県大分市富士見が丘東2-8-6,1976,25,,40,http://fujimigaoka-youchien.com,,,なし,['097-541-6101']
2024-06-01,学校法人廣池学園,公社・官公庁・学校・研究施設,9,■当学園について： 麗澤各校は、学祖・廣池千九郎（法学博士）の提唱するモラロジー（道徳科学）に基づく知徳一体の教育を基本理念として、昭和10年（1935年）の創立以来、世界の平和と繁栄に貢献できる｢真の国際人」を養成してきました。今後も、学生・生徒の心に仁愛の精神を培い、その上に最新の科学技術、知識を修得させる建学の精神を堅持し、なお一層、教育・研究の充実を図り、国家社会、世界にとって真に有用な人材を養成してまいります。,千葉県柏市光ケ丘2-1-1,1935,394,,,https://www.reitaku.jp/,,,https://www.reitaku.jp/contact/,"['04-7173-3111', '04-7173-3596', '04-7173-3541']"
2024-07-01,学校法人Ｃ２Ｃ　Ｇｌｏｂａｌ　Ｅｄｕｃａｔｉｏｎ　Ｊａｐａｎ,公社・官公庁・学校・研究施設,1,■事業内容： 山梨学院大学をはじめ、幼稚園から大学までの全学校種の運営を行っている総合学園です。社会変化の大きい環境下でもグローバルに活躍できる学生を育成するため、様々な業界から経験豊富な方をお招きし、新しい制度や価値観を取り入れたりと、変革を日々進めています。,山梨県甲府市酒折2-4-5,1946,710,,,https://www.c2c.ac.jp/,,,https://www.c2c.ac.jp/contact,"['055-224-1400', '055-233-1111', '055-224-1396', '055-224-1616']"
2024-06-01,学校法人戸板学園,公社・官公庁・学校・研究施設,1,短期大学・私立中学校・高等学校の運営三田国際学園中学校、三田国際学園高等学校、戸板女子短期大学,【戸板女子短期大学】東京都港区芝2-21-17〒158-0097 【三田国際学園中学校・三田国際学園高等学校】東京都世田谷区用賀2-16-1,1902,250,,,http://www.toita.ac.jp,,理事長 湯尾 健児,https://www.toita.ac.jp/contact/,['03-3452-4161']
2024-06-01,学校法人瓜生山学園,公社・官公庁・学校・研究施設,1,京都芸術大学をはじめとする教育・研究に関わる諸事業＜設置校＞■京都芸術大学■京都芸術デザイン専門学校■京都文化日本語学校■京都芸術大学附属高等学校■認可保育園 こども芸術大学,京都府京都市左京区北白川瓜生山2-116,1977,504,,,https://www.kyoto-art.ac.jp/,,理事長 徳山 豊,https://www.kyoto-art.ac.jp/inquiry/,['0757919122']
2024-06-01,一般社団法人日本油料検定協会,公社・官公庁・学校・研究施設,1,■事業内容：・油脂及び油脂原料等の輸出入の検量、鑑定、検査・油脂原料、輸入食品及び環境の細菌学的・理化学的分析検査,兵庫県神戸市東灘区御影塚町1-2-15,1952,120,5百万円,,https://www.nykk.or.jp/,,,https://nykk.or.jp/contact/,['078-841-4990']
2024-07-01,学校法人東京国際大学,公社・官公庁・学校・研究施設,2,■事業内容：・学校法人東京国際大学・東京国際大学付属日本語学校・予備校の運営,東京都新宿区高田馬場4-23-23,1951,,,,https://www.tiu.ac.jp/,,,https://www.tiu.ac.jp/contact/,"['03-3371-6125', '03-3362-9644', '03-3371-6121', '03-3208-8807', '03-3208-8801', '03-3362-9641']"
2024-07-01,公益財団法人日本英語検定協会,公社・官公庁・学校・研究施設,11,60年以上の実績をもつ試験実施団体です。実用英語技能検定(英検)をはじめとする多様な試験の実施・運営を行っており、小さいお子様からご年配の方まで、学習ステージや目的に合わせた試験を展開することで受験者の生涯学習を支えています。,東京都新宿区横寺町55,1963,159,"1,981百万円",40,http://www.eiken.or.jp/,,,https://www.eiken.or.jp/contact/,['3266-8311']
2024-07-01,学校法人穴吹学園,公社・官公庁・学校・研究施設,1,■事業内容：専門学校の運営,香川県高松市錦町1-22-23,1985,204,,,"Failed to retrieve page, status code: 410",,,"Error accessing Failed to retrieve page, status code: 410: No connection adapters were found for 'Failed to retrieve page, status code: 410'","['087-823-4888', '087-823-2266']"
2024-07-01,公益財団法人東京都道路整備保全公社,公社・官公庁・学校・研究施設,5,■事業内容： 東京都道路整備保全公社は、「安全・快適な道路環境の創出」、「総合駐車対策の推進」を通じて、首都東京の都市再生と都市機能の維持増進、都民生活の向上に寄与することを目的とした公益財団法人です。道路空間等の有効活用による新たな価値の創出を常に目指し、事業収益は広く都民・社会に還元することにより、全事業過程において一貫して公共性・公益性を追求しています。,東京都新宿区西新宿2-7-1小田急第一生命ビル20F,1960,705,500百万円,,http://www.tmpc.or.jp/,,,https://www.tmpc.or.jp/contact.html,"['5381-3355', '03-5381-3361']"
2024-07-01,学校法人辻料理学館,公社・官公庁・学校・研究施設,2,学校法人辻料理学館は、辻調グループの中核を担っている「辻調理師専門学校」と「辻製菓専門学校」の二つの専修学校を設置し、運営しています。■辻調グループ運営教育機関：辻調理師専門学校、辻製菓専門学校、エコール辻東京、辻調グループフランス校■辻調グループのビジョン：われわれ辻調グループは、「本物を探求する姿勢」をもって、「食」の技術や知識に関する集積力・開発力・発信力という強みを生かすことで、「食業人」として活躍したい人をはじめ、あらゆる人々に「学び」「気づき」「愉しみ」の場の創造を通じて人生を豊かにすることのできる「食」の素晴らしさを伝え、食文化の発展に貢献していきます。,大阪府大阪市阿倍野区松崎町3-16-11,1960,340,,40,なし,,,Error accessing なし: Invalid URL 'なし': No scheme supplied. Perhaps you meant https://なし?,['06-6629-0206']
2024-06-01,学校法人名古屋自由学院,公社・官公庁・学校・研究施設,2,■事業内容： 大学、幼稚園の運営（名古屋芸術大学大学院／名古屋芸術大学／滝子幼稚園／名古屋芸術大学附属クリエ幼稚園）■事業特徴本学は、芸術学部芸術学科音楽領域・舞台芸術領域・美術領域・デザイン領域および芸術教養領域におきましては、芸術に関する学術技芸の能力修得を目標とした教育を、また教育学部では、保育・教育・福祉の知識・技術の修得を目指した教育を行っております。各学部とも社会人として充分な能力を有する人材の育成に努めています。,愛知県名古屋市昭和区永金町1-1-15,1954,562,,,https://www.nua.ac.jp/about/disclosure/jiyuu-gakuin/,,,https://www.nua.ac.jp/contact/,"['052-882-0758', '052-882-0464']"
2024-06-01,学校法人都築教育学園,公社・官公庁・学校・研究施設,1,■設置学校・園 一覧： ・第一工科大学（鹿児島キャンパス／東京上野キャンパス）・鹿児島第一中学校／高等学校・鹿児島第一幼稚園・鹿児島第一医療リハビリ専門学校・札幌医療リハビリ専門学校■都築学園グループ建学の精神・理念：＜建学の精神＞個性の伸展による人生練磨＜教育の基本理念＞個性を伸ばし、自信をつけさせ世界へ送り出したい,鹿児島県霧島市国分中央1-10-2,1985,314,,,http://www.tsuzukigakuengroup.com/affiliated_school/institute_3,,,なし,"['0120-58-0640', '0995-47-7759', '0995-45-0640', '0995-47-2072', '0995-47-2083', '0995-45-2010']"
2024-06-01,学校法人セムイ学園,公社・官公庁・学校・研究施設,1,■事業内容： 理学療法士、作業療法士、柔道整復師、臨床工学技士、言語聴覚士、看護師の養成※以下の3校の運営を行っています。・東海医療科学専門学校・東海歯科医療専門学校・東海医療工学専門学校,愛知県名古屋市中村区名駅南2-7-2,1992,90,"2,990百万円",,https://www.tokai-med.ac.jp/,,,https://www.school-go.info/77m4c1/semui/form.php?fno=123&fsno=1&_gl=1*1k3dplh*_ga*NTkyNjQxMTc5LjE3MDI5NDM3MDA.*_ga_3WTZB24HRW*MTcwOTAyNDIyMC40NC4wLjE3MDkwMjQyMjMuNTcuMC4w&nnso=0,なし
2024-07-01,学校法人産業能率大学,公社・官公庁・学校・研究施設,7,■概要：『マネジメントの総合教育研究機関』学生教育部門と社会人教育部門およびマネジメントに関する総合的な研究機関としての総合研究所を併せ持つ「学校法人」として、国内のみならず世界的に見ても非常にユニークな存在です。「実学教育」を伝統とする大学の使命を礎に、総合研究所は創立当初から欧米の経営手法を日本の産業界に紹介・普及し、個別企業向けの研修やコンサルテーション等を通して産業界と緊密な関係を築いてきております。■事業領域：通信研修、企業内研修、コンサルテーション、eラーニング、公開セミナー、組織・個人診断、調査・研究活動、大会・イベント,東京都世田谷区等々力6-39-15,1925,532,,50,https://www.sanno.ac.jp/,,,https://www.sanno.ac.jp/undergraduate/contact/index.html,"['03-3704-9955', '03-3704-1436', '03-6432-2536', '3704-1110', '3704-1111']"
2024-07-01,学校法人宝塚大学,公社・官公庁・学校・研究施設,1,■学校法人宝塚大学の運営,【東京新宿キャンパス】東京都新宿区西新宿7丁目11番1号,1987,,,,https://www.takara-univ.ac.jp/,,理事長 玉本 隆一,https://www.takara-univ.ac.jp/contact/,"['3367-3411', '03-3367-3411']"
2024-06-01,株式会社サンアロマ,公社・官公庁・学校・研究施設,1,・食品及び食品添加物の研究開発・乳呈味素材の開発業務及び乳をはじめとする天然物からの抽出素材の開発業務・冷菓、飲料をはじめとする食品に対し香味を付与する素材として、酵素や乳酸菌等を用いた乳呈味素材の開発や、天然物から香り成分を抽出した抽出物の開発・上記業務内容を担う部署の管理職として部下の指導、育成,大阪府吹田市寿町2-1-11,1959,92,5000万円,,http://sun-aroma.com/,,代表取締役社長 杉山 勲,http://sun-aroma.com/contact-check/,なし
2024-07-01,学校法人後藤学園,公社・官公庁・学校・研究施設,1,■当学園について：学校法人後藤学園、武蔵野栄養専門学校、武蔵野調理師専門学校、専門学校武蔵野ファッションカレッジ、武蔵丘短期大学は、学生自身が自分の個性にあった職業に必要な基本となる「知識・技術」をしっかりと身につけ習得する学校であり、「身体で覚える授業」を提唱しています。,東京都豊島区南池袋3-12-2,1947,190,,,https://www.goto.ac.jp/,,,https://www.goto.ac.jp/#page9,"['03-3982-6152', '03-3982-6154', '03-3971-6188']"
2024-07-01,株式会社帝京サービス,公社・官公庁・学校・研究施設,6,■事業内容：帝京大学グループと連携しながら、学生、教職員、地域社会のニーズに応え、高品質なサービスを提供することを目指しています。,東京都板橋区稲荷台10-7帝京大学大学棟3号館,1979,46,30百万円,,http://www.teikyo-service.com/,,,https://www.teikyo-service.com/corporate/contact/,"['011-531-2226', '0120-335933', '03-3964-1408']"
2024-06-01,株式会社前橋天川自動車教習所,公社・官公庁・学校・研究施設,1,■事業内容： 自動車教習業務（普通車・普通二輪車）高齢者講習・取得時講習・ペーパードライバー教習業務■ビジョン： 運転の責任を教えます・生命の大切さを教えます・運転の楽しさを教えます・地域の安全に貢献します,群馬県前橋市天川大島町1065-2,1981,,10百万円,,http://www.amagawa.com/,,,http://www.amagawa.com/contact_document/,['027-261-0840']
2024-06-01,一般財団法人大蔵財務協会,公社・官公庁・学校・研究施設,2,■事業内容：・書籍出版事業・公益事業（財務行政に関する調査研究、財務行政に関する啓蒙普及、その他、財務行政の改良発達への寄与等の目的を達成するために必要な事業）・税務データベース,東京都墨田区東駒形1-14-1財協ビル,1936,70,,44,http://www.zaikyo.or.jp/,,,https://www.zaikyo.or.jp/contact/,"['03-3829-4001', '03-5637-9926', '03-3829-4141']"
2024-07-01,ユニバース開発株式会社,公社・官公庁・学校・研究施設,3,■事業内容： ・環境事業・ビル事業・フランチャイズ事業・知育事業,東京都文京区本郷2-10-9冨士ビル2F,1970,498,50百万円,,https://www.universe-dev.co.jp/,,,https://universe-dev.co.jp/contact.html,['03-5615-8490']
2024-05-01,株式会社日本総合科学,公社・官公庁・学校・研究施設,1,測定分析・食品衛生・環境調査・環境創造研究所の運営,広島県福山市箕島町南丘399番地46,1987,71,5000万円,,https://www.ntsc.co.jp,,代表取締役 近本 陽一,https://www.ntsc.co.jp/inq/inquiry.html,"['084-971-8181', '082-263-6561', '0849810181', '084-971-8180']"
2024-07-01,独立行政法人日本スポーツ振興センター,公社・官公庁・学校・研究施設,1,■スポーツ施設の運営及びスポーツの普及・振興■災害共済給付及び学校安全支援■国際競技力向上のための研究・支援等に関する業務■スポーツ・インテグリティの保護・強化に関する業務■スポーツ振興投票等■スポーツ振興のための助成■日本のスポーツ情報機能の強化に関する業務■登山に関する指導者養成及び調査研究■スポーツ博物館・図書館の管理・運営■関係機関との連携・協働に関する取組■受託業務,【独立行政法人日本スポーツ振興センター 外苑事務所】東京都新宿区霞ヶ丘町4-1日本青年館・日本スポーツ振興センタービル6～8階,2003,,,,https://www.jpnsport.go.jp/,,理事長 芦立 訓,https://www.jpnsport.go.jp/corp/tabid/449/Default.aspx,"['03-5410-9124', '03-3401-0101', '03-5410-9146', '03-6452-9065']"
2024-07-01,株式会社環境衛生科学研究所,公社・官公庁・学校・研究施設,1,■環境コンサルティング業 ■環境計量証明事業（水質・大気・騒音振動 等）,長崎本社ラボ／長崎県長崎市田中町603-3,1974,37,,,https://www.ec-kaken.co.jp/,,代表取締役社長 新宮 一広,https://www.ec-kaken.co.jp/#contact,"['095-834-0261', '095-895-2582', '095-895-2731', '095-834-0250', '097-536-0061', '092-623-2211', '0258-46-7151']"
2024-05-01,公益財団法人宮崎県環境科学協会 　(宮崎県指定浄化槽法定検査機関),公社・官公庁・学校・研究施設,1,＜公益財団法人＞環境に関する測定分析環境計量証明事業,宮崎県宮崎市大字田吉字ヅンブリ6258番地20,1973,81,"7,000万円",,https://miyazaki-kankyo.or.jp/,,理事長 石井 浩二,"Error accessing https://miyazaki-kankyo.or.jp/: HTTPSConnectionPool(host='miyazaki-kankyo.or.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1007)')))",['0985-51-2077']
2024-07-01,学校法人永守学園,公社・官公庁・学校・研究施設,6,■事業内容：教育機関（大学・大学院、幼稚園・保育園）の運営下記建学の精神に基づき、2018年から様々な改革を進めています。・本学では、未来につながる課題を自ら設定し、それを解決することができる先端人材を輩出します。・本学では、これからの社会が目指すべき姿を構想し、その実現に向けた諸課題の解決に繋がる先端学術研究を実践します。・本学は、人材輩出・研究の実践を通じ、現在と未来の世界に先頭を切って貢献していきます。,京都府京都市右京区山ノ内五反田町18,1969,400,,,https://www.kuas.ac.jp/corporation/,,,https://www.kuas.ac.jp/contact,"['075-406-9107', '075-406-7000', '075-406-9250', '0754069108']"
2024-05-01,学校法人トヨタ学園,公社・官公庁・学校・研究施設,1,■事業内容：大学及び大学院大学の運営を行っています。設置している学校・学部・学科等は下記の通りです。（1）豊田工業大学 工学部 先端工学基礎学科（2）豊田工業大学 大学院 工学研究科（3）TTIC（豊田工業大学シカゴ校）,愛知県名古屋市天白区久方2-12-1,1981,195,,,https://www.toyota-ti.ac.jp/,,,https://www.toyota-ti.ac.jp/inquiry.html,"['052-802-1111', '052-809-1723']"
2024-07-01,学校法人追手門学院,公社・官公庁・学校・研究施設,4,＜事業内容＞追手門学院大学、大学院、学校法人追手門学院中・高等学校、学校法人追手門学院手前中・高等学校、学校法人追手門学院小学校、幼保連携型認定こども園 学校法人追手門学院幼稚園を抱える学校法人です。2016年に大学創立50周年、2018年には学院創設130周年を迎え、2019年には大学総持寺キャンパス開設、中・高等学校の全面移転を行いました。,大阪府茨木市西安威2-1-15,1888,1026,,,なし,,,Error accessing なし: Invalid URL 'なし': No scheme supplied. Perhaps you meant https://なし?,"['072-641-9168', '072-641-7461', '072-641-7441', '072-641-7442']"
2024-05-01,株式会社雪研スノーイーターズ,公社・官公庁・学校・研究施設,2,～日本で唯一の雪のノウハウと防雪技術に特化した「防雪・防災のスペシャリスト集団」～■事業：創業当時から事業の柱である「雪や気象に関する調査・研究・開発」をはじめ、「防雪対策工設計」「環境調査」まで他社には無い多くの部門を有しています。,北海道札幌市中央区南二条西7-5-6,1988,30,38百万円,,https://www.snow-eaters.com/,,,https://www.snow-eaters.com/?page_id=6,なし
2024-05-01,学校法人東京聖栄大学,公社・官公庁・学校・研究施設,1,■事業内容：学校法人東京聖栄大学は、東京聖栄大学、東京聖栄大附属わたなべ幼稚園、東京聖栄大学附属調理師専門学校の3校を運営しています。,東京都葛飾区西新小岩1-4-6,1947,95,,,https://www.tsc-05.ac.jp/,,,https://www.tsc-05.ac.jp/inquiry/,"['03-3692-0211', '03-3692-0213', '03-3692-0238']"
2024-07-01,学校法人夙川学院,公社・官公庁・学校・研究施設,2,■事業内容： 兵庫県神戸市長田区に本部を置き、神戸教育短期大学、夙川学院ソレイユ認定こども園、神戸教育短期大学附属八尾ソレイユ認定こども園を運営する学校法人,兵庫県神戸市長田区西山町2-3-3,1951,102,,,http://www.shukugawagakuin.net/,,,http://www.shukugawagakuin.net/contact/,"['10586441', '078-611-3351', '078-611-3356', '078-611-3350']"
