更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,株式会社倫來亜樹,理容・美容・エステ,求人なし,,東京都港区南麻布4-1-29広尾ガーデン 4Ｆ,1990,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 東條 てるみ
2024-08-01,株式会社野々村美容商事社,理容・美容・エステ,求人なし,,岐阜県岐阜市光町1-28,1969,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 野々村 剛
2024-08-01,株式会社カルチロード,理容・美容・エステ,求人なし,,福井県福井市二の宮4-19-1,1980,,,,20 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 飯田 道子
2024-08-01,日理株式会社,理容・美容・エステ,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■理美容向けの化粧品や雑貨の卸売■全国百貨店を対象に、輸入品を含む整容雑貨の納入及び外商部への特注品納入卸 など【事業所】■本社／東京都台東区浅草橋1-9-16■東京店（本部）／東京都荒川区東日暮里6-39-15■大阪店／大阪府東大阪市長田東2-1-11■東京流通センター／埼玉県草加市遊馬町421 2023年7月doda掲載求人より引用,東京都台東区浅草橋1-9-16,1915,,,,100 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 有馬 公明
2024-08-01,扶洋薬品株式会社,理容・美容・エステ,求人なし,,北海道札幌市中央区南一条西12-4扶洋第一ビル,1981,,,,60 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 奥山 厚広
2024-08-01,株式会社芭里絵,理容・美容・エステ,求人なし,,北海道札幌市中央区大通西22-2-10芭里絵ビル,1983,,,,50 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 竹中 三博
2024-08-01,株式会社サミットインターナショナル,理容・美容・エステ,求人なし,,北海道札幌市中央区南二条西10-7-5サミットビル,1985,,,,100 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 樋口 謙吾
2024-08-01,株式会社バイコナミ,理容・美容・エステ,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■サロン様向けコンサルティング事業（COTA旬報システムの活用）【美容室経営者さまをはじめスタッフの皆様に対し店舗運営全般をサポートするコンサルティング活動】■店舗プロデュース事業（各種企画・メニュー提案等）■美容商材販売事業 2022年6月doda掲載求人より引用,長野県松本市大字島内5307-3第一島内ビル 103,1987,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 横川 秀貴
2024-08-01,株式会社サロン・ド・ジュン,理容・美容・エステ,求人なし,,群馬県高崎市京目町110-3,1977,,,,13 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 深澤 勤
2024-08-01,株式会社フジミヤ,理容・美容・エステ,求人なし,,長野県松本市大字島内4157-1,1972,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 可児 尚義
2024-08-01,株式会社マキシム,理容・美容・エステ,求人なし,,福岡県北九州市小倉北区馬借1-6-41マキシムビル,1982,,,,46 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 渡邊 知彦
2024-08-01,株式会社ロス・エンタテインメント,理容・美容・エステ,求人なし,,北海道札幌市中央区南二条西3-1-7ＭＯＤＡビル 4Ｆ,2001,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 古澤 政治
2024-08-01,株式会社イナデン,理容・美容・エステ,求人なし,,長野県飯田市鼎名古熊2007-7,1984,,,,20 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 稲垣 好彦
2024-08-01,株式会社エム・エイチ・グループ,理容・美容・エステ,求人なし,,東京都渋谷区千駄ヶ谷1-11-1Ｍ・Ｈビル,1990,スタンダード,,,517 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役兼執行役員社長 半澤 勝己
2024-08-01,株式会社エニシ,理容・美容・エステ,求人なし,,福岡県福岡市博多区東那珂3-5-8,1982,,,,30 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 福岡 一郎
2024-08-01,有限会社ムゲン・プロジェクトカンパニー,理容・美容・エステ,求人なし,,長野県長野市大字中御所岡田町53-11,1989,,,,5 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 町田 研斗
2024-08-01,株式会社フジシン北海道,理容・美容・エステ,求人なし,,北海道札幌市豊平区福住一条7-1-1,1982,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 吉本 登充
2024-08-01,株式会社コスモ,理容・美容・エステ,無,,福岡県福岡市南区長丘3-23-33,1986,,,,33 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 貝塚 弘幸
2024-08-01,株式会社ハンサム,理容・美容・エステ,求人なし,,埼玉県さいたま市浦和区北浦和4-1-9ハンサムファーストビル 1Ｆ,1954,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤森 英司
2024-08-01,株式会社アコービューティック,理容・美容・エステ,求人なし,,岡山県岡山市北区平田126-104,1977,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 穐山 晃治
2024-08-01,有限会社ヘアージャンキー,理容・美容・エステ,求人なし,,福岡県福岡市早良区百道浜3-4-10,2001,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 髙倉 秀樹
2024-08-01,株式会社ワシントン,理容・美容・エステ,求人なし,,岡山県岡山市北区平野1095,1985,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 湯本正基
2024-08-01,株式会社ウエーヴジャパン,理容・美容・エステ,求人なし,,岐阜県岐阜市八代2-6-132Ｆ,1988,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 坂之上 一彦
2024-08-01,有限会社トレーラー・ビジネス・ジャパン,理容・美容・エステ,求人なし,,岐阜県岐阜市市橋6-4-5,2000,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 髙田 潔
2024-08-01,株式会社ビリーフビューティー,理容・美容・エステ,求人なし,,福岡県久留米市御井旗崎1-10-20ウィズプラザビル 1Ｆ,1997,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 平田 俊哉
2024-08-01,株式会社ガモウ北海道,理容・美容・エステ,求人なし,,北海道札幌市中央区北二条西14-3-30,1985,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 蒲生 茂
2024-08-01,学校法人県北若竹学園,理容・美容・エステ,求人なし,,埼玉県熊谷市籠原南1-134,1963,,,,"2,586 百万円",Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,理事長 田中 哲夫
2024-08-01,株式会社リンクス,理容・美容・エステ,求人なし,,埼玉県所沢市緑町4-7-14キャピタルコート 1Ｆ,2000,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 丸茂 一康
2024-08-01,トップ商事株式会社,理容・美容・エステ,求人なし,,福岡県糟屋郡粕屋町大字仲原1845-1,1988,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤木 慎二
2024-08-01,ピアレアモーレ株式会社,理容・美容・エステ,求人なし,,静岡県静岡市清水区中之郷2-29-8県立美術館前駅ビル 3Ｆ,1992,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山梨 英機
2024-08-01,株式会社サロンドエスプリ,理容・美容・エステ,求人なし,,広島県広島市中区八丁堀6-11グレイスビル 702,1992,,,,12 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 石川 実
2024-08-01,株式会社ラティアインターナショナル,理容・美容・エステ,求人なし,,広島県広島市中区大手町1-1-20ニュー大手町ビル 8Ｆ,1992,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中山 浩輔
2024-08-01,株式会社ビックサドー,理容・美容・エステ,求人なし,,埼玉県上尾市浅間台1-7-6ビックサドービル 3Ｆ,1991,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 石井 智英子
2024-08-01,株式会社タムラ,理容・美容・エステ,求人なし,,広島県広島市西区商工センター1-4-44,1952,,,,26 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 高見 元太郎
2024-08-01,美的感覚集団美髪堂株式会社,理容・美容・エステ,求人なし,,東京都豊島区南長崎5-33-12,1992,,,,100 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 鈴木 勝裕
2024-08-01,株式会社西洋館センター,理容・美容・エステ,無,,埼玉県朝霞市浜崎1-6-21西洋館事務所ビル 2Ｆ,1998,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 池内 フミヱ
2024-08-01,株式会社美伸,理容・美容・エステ,求人なし,,東京都港区六本木1-9-10アークヒルズ仙石山森タワー 26Ｆ,1988,,,,50 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小谷 誠七郎
2024-08-01,株式会社ウインナー美容室,理容・美容・エステ,求人なし,,愛知県名古屋市東区筒井1-10-30,1951,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 玉置 雅子（早川 雅子）
2024-08-01,株式会社ニュークイーン,理容・美容・エステ,求人なし,,愛知県名古屋市中村区名駅2-41-15,1982,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小平 幸治
2024-08-01,有限会社ヤマト,理容・美容・エステ,求人なし,,愛知県名古屋市中村区名駅4-5-26ユニモール桜ビル 4Ｆ,1999,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山本 雅之
2024-08-01,株式会社アルト,理容・美容・エステ,無,,宮城県仙台市青葉区堤町1-1-2エムズ北仙台 9Ｆ,1982,,,,50 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 髙野 十
2024-08-01,モイスティーヌ東北販売株式会社,理容・美容・エステ,求人なし,,宮城県仙台市青葉区春日町4-11ＭＴビル 2Ｆ,1999,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 沼田 太年子
2024-08-01,総美有限会社,理容・美容・エステ,求人なし,,栃木県宇都宮市江曽島本町12-6ザフォウルビ第一ビル 2Ｆ,1967,,,,20 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田中 千鶴
2024-08-01,株式会社タロー,理容・美容・エステ,求人なし,,東京都渋谷区東1-26-30,1950,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 横山 健治
2024-08-01,ベレックス株式会社,理容・美容・エステ,求人なし,,東京都渋谷区神泉町21-3渋谷ＹＴビル02－7Ｆ,1992,,,,50 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役社長 ＣＥＯ 八藤 浩志
2024-08-01,ロワール商会株式会社,理容・美容・エステ,求人なし,,東京都千代田区神田小川町3-18ホシビル 2Ｆ,1967,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岸上 興自
2024-08-01,株式会社フレンズ企画,理容・美容・エステ,求人なし,,茨城県取手市白山8-7-32ＷＦＡビューティアカデミー内,1987,,,,40 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 稲葉 昌子
2024-08-01,株式会社スーパーコンチネンタル,理容・美容・エステ,求人なし,,東京都目黒区東山1-3-12日神プラザ中目黒 1204,1997,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 成田 隆子
2024-08-01,株式会社ピーユーサービス,理容・美容・エステ,無,,千葉県松戸市本町11-2ヤマサンビル 3Ｆ,1987,,,,40 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤巻 時寛
2024-08-01,有限会社アージュ,理容・美容・エステ,求人なし,,東京都葛飾区東金町1-11-2,1999,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 蔦屋 知宏
2024-08-01,株式会社遠藤波津子美容室,理容・美容・エステ,無,,東京都中央区銀座1-7-5,1947,,,,30 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 遠藤 彬
2024-08-01,株式会社グランマーレ,理容・美容・エステ,求人なし,,新潟県新潟市西区五十嵐1の町7796-3,1976,,,,19 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 大海 伸
2024-08-01,株式会社ビューティトップヤマノ,理容・美容・エステ,求人なし,,東京都新宿区大久保2-2-11新宿太陽ビル 8Ｆ,1983,,,,45 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山野 純治
2024-08-01,株式会社ツルミ美容院,理容・美容・エステ,求人なし,,神奈川県横浜市鶴見区豊岡町20-11,1948,,,,20 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 晝間 靖弘
2024-08-01,株式会社村山,理容・美容・エステ,求人なし,,東京都中央区日本橋富沢町8-9,1984,,,,50 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 村山 舞
2024-08-01,有限会社銀座マツナガ,理容・美容・エステ,求人なし,,東京都中央区銀座2-6-5藤屋ビル Ｂ1Ｆ,1976,,,,15 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松永 巳喜男
2024-08-01,有限会社美容室クラフト,理容・美容・エステ,求人なし,,千葉県山武郡横芝光町横芝1047,1998,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 宇井 勝
2024-08-01,株式会社板倉庄三のサロン,理容・美容・エステ,求人なし,,新潟県新潟市中央区笹口3-7-28,1977,,,,25 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 板倉 惠
2024-08-01,株式会社ジャパン・メディア・システムズ,理容・美容・エステ,求人なし,,東京都中央区銀座1-15-12ＪＭＳビル 1Ｆ,1990,,,,20 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 巳作 和恵
2024-08-01,株式会社マリージョゼ,理容・美容・エステ,求人なし,,福井県福井市有楽町3-7山岸ビル 1Ｆ,2001,,,,25 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山岸 寛士
2024-08-01,株式会社ＮＯＤＡ,理容・美容・エステ,求人なし,,新潟県三条市南四日町4-12-20,1966,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 古川 敦義
2024-08-01,有限会社ヒサキ美容室,理容・美容・エステ,求人なし,,新潟県三条市本町2-13-8,1977,,,,7 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 渡辺 智久
2024-08-01,株式会社横浜ハーベスト,理容・美容・エステ,求人なし,,神奈川県横浜市中区弥生町4-36-2横浜ハーベストビル 4Ｆ,1980,,,,20 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松薗 芳子
2024-08-01,株式会社プレステージ,理容・美容・エステ,無,,神奈川県横浜市西区高島2-14-12崎陽軒ビル ヨコハマ・ジャスト2号館 5－Ｂ,1987,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 峰岡 泰文
2024-08-01,アブコ株式会社,理容・美容・エステ,無,,東京都中央区八丁堀2-29-11キューアス八丁堀第二ビル 6Ｆ,1986,,,,30 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤倉 康成
2024-08-01,有限会社リフロウズ,理容・美容・エステ,求人なし,,新潟県新潟市中央区下大川前通4ノ町2230,1993,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小島 達也
2024-08-01,株式会社バイオテック,理容・美容・エステ,1,◆ヘアケア関連商材の開発・販売◆発毛・育毛専門サロンの全国展開◎日本初の『育毛システム』の特許取得実績を持つ専門店です！【特許】・特許1396867号 「育毛システム」・実用新案登録1976696号 育毛洗髪器・実用新案登録1945953号 頭皮の皮脂除去装置【拠点】東京、大阪、名古屋、福岡などに全国展開中！【加盟団体】日本毛髪工業協同組合 副理事,愛知県名古屋市中区金山1-14-9 長谷川ビル7階（本社）,1985,,,170,5000万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役社長 清水 賢
2024-08-01,株式会社モリタ,理容・美容・エステ,求人なし,,富山県射水市手崎472,1977,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 森田 昌孝
2024-08-01,株式会社光美堂,理容・美容・エステ,求人なし,,新潟県妙高市田町1-1-2,1977,,,,20 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小林 文夫
2024-08-01,株式会社ルフト,理容・美容・エステ,求人なし,,愛知県名古屋市中区千代田3-18-24,1988,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 村瀬 信幸
2024-08-01,有限会社バンズヘア,理容・美容・エステ業界,求人なし,,愛知県名古屋市中区金山1-14-9ＨＡＳＥＧＡＷＡＢＵＩＬＤＩＮＧ． 3Ｆ,1998,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,取締役 伴龍 次郎
2024-08-01,株式会社ガモウ,理容・美容・エステ,求人なし,,東京都港区南青山2-27-25ヒューリック南青山ビル 2Ｆ,1976,,,,60 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 蒲生 典子
2024-08-01,有限会社アイムインターナショナル,理容・美容・エステ,求人なし,,滋賀県草津市野路1-8-18Ｅ．Ｅ．ビル 2Ｆ 203,1991,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 今村 意仁
2024-08-01,株式会社シャローナ,理容・美容・エステ,求人なし,,愛知県名古屋市中区金山1-8-19ジャルダン新金山 4Ｆ 401,1994,,,,83 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 渡邉 範明
2024-08-01,株式会社トニーアンドガイジャパン,理容・美容・エステ,求人なし,,東京都港区南青山1-15-15乃木坂パークフロント 3Ｆ,1984,,,,45 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 雑賀 英敏
2024-08-01,株式会社バローロ,理容・美容・エステ,求人なし,,東京都千代田区丸の内2-3-2郵船ビルディング 1Ｆ,1989,,,,44 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 馬頭 里子
2024-08-01,有限会社ビクターエンジニアリング,理容・美容・エステ,求人なし,,愛知県名古屋市昭和区広見町3-42-1,1987,,,,5 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 臼井 昭人
2024-08-01,株式会社タカミ,理容・美容・エステ,求人なし,,愛知県名古屋市熱田区比々野町59-3,1980,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 西 英一
2024-08-01,株式会社横浜ヘルシー,理容・美容・エステ,求人なし,,神奈川県横浜市旭区二俣川2-50-14コプレ二俣川 9Ｆ,1985,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 堀 絵利
2024-08-01,株式会社パスカルコミュニケイションズ,理容・美容・エステ,求人なし,,東京都港区北青山2-12-42,1991,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 吉川 忠久
2024-08-01,株式会社シェイプアップハウス,理容・美容・エステ,求人なし,,東京都中央区銀座5-10-2,1984,,,,40 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 下村 留弥以
2024-08-01,株式会社ビューティシェアリングテクノロジーズ,理容・美容・エステ,求人なし,,神奈川県横浜市青葉区つつじが丘11-2Ｍ．Ｉ．Ｔ青葉台ビル 2Ｆ,1986,,,,397 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 川北 隼堂
2024-08-01,株式会社ジュレーヌ,理容・美容・エステ,求人なし,,神奈川県横浜市青葉区青葉台2-3-23,1987,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岩渕 廣
2024-08-01,株式会社イメージア,理容・美容・エステ,求人なし,,神奈川県横浜市青葉区田奈町27-1,1987,,,,20 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 土志田 弘
2024-08-01,株式会社ウインズ,理容・美容・エステ,求人なし,,東京都港区新橋1-4-1,1984,,,,30 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 櫻井 節子
2024-08-01,株式会社マツモト,理容・美容・エステ,求人なし,,大阪府大阪市西区南堀江1-2-6ＴＡＴＳＵＭＩ南堀江ビル 9Ｆ,1966,,,,21 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 松本 兼輔
2024-08-01,株式会社京ろまんグループホールディングス,理容・美容・エステ,求人なし,,奈良県奈良市油阪地方町6-4京ろまんビル 4Ｆ,1986,,,,97 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 郡 史朗
2024-08-01,株式会社ノンストレス,理容・美容・エステ,求人なし,,東京都渋谷区広尾1-3-1萩原ビル1－6Ｆ,1996,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 坂野 尚子
2024-08-01,株式会社エイチ・ツーオー,理容・美容・エステ,求人なし,,大阪府大阪市西区北堀江1-4-14Ｈ2Ｏビル 2Ｆ,1987,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田中 康作
2024-08-01,株式会社リー,理容・美容・エステ,求人なし,,大阪府大阪市中央区北浜東4-33北浜ネクスビル 17Ｆ,1996,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 眞城照央
2024-08-01,株式会社サンシエナ,理容・美容・エステ,求人なし,,東京都中央区銀座8-14-5,1995,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 加藤 利治
2024-08-01,株式会社ラ・フラーム,理容・美容・エステ,求人なし,,東京都港区北青山3-13-3Ｒ＇ｓＡＯＹＡＭＡ,1992,,,,65 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 佐藤 信晴
2024-08-01,中央砿油株式会社,理容・美容・エステ,求人なし,,兵庫県神戸市中央区元町通6-1-8東栄ビル 504,1956,,,,15 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 谷口 陽子
2024-08-01,株式会社田中ビュー,理容・美容・エステ,求人なし,,東京都港区南青山5-6-24バルビゾン23 Ｂ1Ｆ,1992,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 幸田 剛
2024-08-01,株式会社みどり美粧院,理容・美容・エステ,求人なし,,兵庫県神戸市中央区北長狭通1-10-5みどりビル 2Ｆ,1950,,,,50 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 仁科 悦子
2024-08-01,株式会社マサ、ビユーテイ、カルチア,理容・美容・エステ,求人なし,,東京都新宿区大京町19,1953,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 石井 千佳江
2024-08-01,ガブルス・ジャパン株式会社,理容・美容・エステ,求人なし,,兵庫県神戸市中央区元町通1-8-14,1994,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 竹内佳章
2024-08-01,有限会社ジェーシー産業,理容・美容・エステ,求人なし,,兵庫県淡路市生田大坪340,1994,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 太田 勝美
2024-08-01,株式会社カブール,理容・美容・エステ,求人なし,,兵庫県神戸市長田区若松町9-2-11,1987,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 梶原 政美
2024-08-01,株式会社ローズライン,理容・美容・エステ,求人なし,,東京都中央区日本橋3-15-6松木ビル 1Ｆ,1997,,,,30 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 北本 文
2024-08-01,株式会社レゾナ,理容・美容・エステ,求人なし,,東京都豊島区高田3-13-2高田馬場ＴＳビル Ｂ1,1983,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役社長 川合 栄司
2024-08-01,ステーションカンパニー株式会社,理容・美容・エステ,求人なし,,大阪府大阪市北区浪花町12-24赤坂天六ビル 4Ｆ,1989,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤原 弘呼
2024-08-01,株式会社ユビックス,理容・美容・エステ,無,,京都府長岡京市長法寺清水ケ瀬5-61,2001,,,,23 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 鵜川 和久
